,ID,TOOL_ID,Tool,TOOL_ID (#1),TOOL_ID (#2),TOOL_ID (#3),Tool (#2),tool (#1),TOOL,TOOL (#1),TOOL (#2),Tool (#1),tool,Tool (#3)
0,ID001,N,B,E,E,E0,C,W,D,YX1,A,329,3009,11
1,ID002,M,B,E,E,E0,C,X,D,YX1,A,215,4106,11
2,ID003,L,B,E,E,E0,C,W,D,YX1,A,329,3009,11
3,ID004,M,B,E,E,E0,B,X,D,YX1,A,215,3009,11
4,ID005,M,B,E,E,E0,B,W,D,YX1,A,215,3009,13
5,ID006,M,B,E,E,E0,B,W,D,YX1,A,215,3009,12
6,ID007,N,B,E,E,E0,B,X,D,YX1,A,329,4106,13
7,ID010,N,B,E,E,E0,C,W,D,YX1,A,530,4106,14
8,ID011,N,B,E,E,E0,C,X,D,YX1,A,530,3009,15
9,ID012,M,B,E,E,E0,C,V,D,YX1,A,1113,3009,11
10,ID013,L,B,E,E,E0,C,W,D,YX1,A,1018,3009,13
11,ID015,J,B,E,E,E0,B,V,D,YX1,A,329,4106,11
12,ID018,J,B,E,E,E0,B,X,D,YX1,A,215,3009,11
13,ID019,J,B,E,E,E0,B,W,D,YX1,A,329,4106,11
14,ID032,M,B,E,D,E0,B,W,D,YX1,A,329,4106,13
15,ID033,L,B,E,D,E0,B,V,D,YX1,A,215,3009,13
16,ID034,N,B,E,D,E0,B,X,D,YX1,A,329,4106,14
17,ID035,M,B,E,D,E0,B,W,D,YX1,A,215,3009,14
18,ID036,L,B,E,D,E0,B,V,D,YX1,A,329,4106,14
19,ID037,N,B,E,D,E0,B,X,D,YX1,A,215,3009,15
20,ID040,M,B,E,D,E0,B,W,D,YX1,A,329,4106,15
21,ID042,L,B,E,D,E0,B,V,D,YX1,A,215,3009,15
22,ID044,N,B,E,D,E0,B,X,D,YX1,A,329,4106,11
23,ID046,M,B,E,D,E0,B,W,D,YX1,A,215,3009,11
24,ID049,N,B,N,E,N0,C,V,C,YX1,A,530,4147,6
25,ID051,L,B,N,E,N0,C,V,C,YX1,A,1018,3009,10
26,ID056,N,B,E,D,E0,B,V,D,YX1,A,215,3009,11
27,ID063,L,B,N,E,N0,B,X,D,YX1,A,329,4106,7
28,ID064,N,B,N,E,N0,B,V,D,YX1,A,215,3009,10
29,ID067,N,B,N,E,N0,C,W,C,YX1,A,1110,2409,10
30,ID069,L,B,N,E,N0,C,X,C,YX1,A,1245,2409,9
31,ID071,N,B,E,E,E0,B,X,D,YX1,A,329,4106,12
32,ID072,L,B,E,E,E0,B,W,D,YX1,A,215,4147,12
33,ID073,N,B,E,E,E0,B,X,D,YX1,A,329,3009,12
34,ID074,J,B,E,D,E0,C,X,D,YX1,A,530,4147,13
35,ID075,J,B,E,D,E0,C,V,D,YX1,A,1113,3009,13
36,ID076,J,B,E,D,E0,C,W,D,YX1,A,1018,4106,13
37,ID086,M,B,E,E,E0,C,W,D,YX1,A,1245,4106,11
38,ID091,M,B,E,E,E0,C,W,D,YX1,A,1110,3009,12
39,ID093,N,B,E,E,E0,B,V,D,YX1,A,1018,4106,11
40,ID095,M,B,E,E,E0,B,X,D,YX1,A,530,3009,14
41,ID097,M,B,E,E,E0,B,V,D,YX1,A,1018,4106,12
42,ID098,N,B,E,E,E0,B,S,D,YX1,A,329,4106,11
43,ID099,M,B,E,E,E0,C,T,D,YX1,A,215,4106,13
44,ID100,N,B,E,E,E0,B,W,D,YX1,A,530,3009,12
45,ID101,M,B,E,E,E0,C,U,D,YX1,A,329,3009,11
46,ID107,J,B,E,E,E0,B,X,D,YX1,A,1245,3009,11
47,ID108,J,B,E,E,E0,B,W,D,YX1,A,2823,4106,11
48,ID110,J,B,E,E,E0,B,X,D,YX1,A,1110,3009,11
49,ID115,J,B,E,E,E0,B,U,D,YX1,A,215,4106,11
50,ID116,J,B,E,E,E0,B,W,D,YX1,A,329,4106,6
51,ID117,J,B,E,E,E0,B,T,D,YX1,A,329,3009,14
52,ID118,J,B,E,E,E0,B,X,D,YX1,A,215,3009,7
53,ID119,J,B,E,D,E0,B,V,D,YX1,A,1245,4147,9
54,ID120,L,B,E,E,E0,C,X,D,YX1,A,1245,3009,13
55,ID121,L,B,E,E,E0,C,W,D,YX1,A,2823,4106,11
56,ID122,L,B,E,E,E0,B,W,D,YX1,A,1110,4106,13
57,ID123,N,B,E,E,E0,B,W,D,YX1,A,1245,4147,13
58,ID124,L,B,E,E,E0,B,W,D,YX1,A,2823,3009,13
59,ID125,N,B,E,D,E0,B,X,C,YX1,A,2823,4106,13
60,ID126,N,B,E,D,E0,B,W,C,YX1,A,1110,4147,13
61,ID127,N,B,E,D,E0,B,X,C,YX1,A,1245,4106,14
62,ID132,J,B,E,D,E0,B,V,D,YX1,A,1110,4147,9
63,ID135,L,B,E,E,E0,B,W,D,YX1,A,215,4106,13
64,ID136,N,B,E,E,E0,B,X,D,YX1,A,329,4106,14
65,ID137,M,B,E,E,E0,B,W,D,YX1,A,215,4106,14
66,ID138,N,B,E,E,E0,C,S,D,YX1,A,329,3009,13
67,ID144,J,B,E,E,E0,B,X,D,YX1,A,1245,4106,6
68,ID145,J,B,E,E,E0,B,X,D,YX1,A,1245,4106,10
69,ID146,J,B,E,E,E0,B,W,D,YX1,A,2823,3009,10
70,ID147,J,B,E,E,E0,B,W,D,YX1,A,2823,3009,9
71,ID150,M,B,E,E,E0,B,X,D,XY1,A,215,4147,15
72,ID154,M,B,N,E,N0,B,V,D,YX1,A,1245,4106,8
73,ID158,M,B,E,E,E0,B,V,D,YX1,A,215,4106,6
74,ID159,L,B,E,E,E0,B,X,D,YX1,A,329,4106,8
75,ID160,L,B,E,E,E0,B,X,D,YX1,A,329,4106,14
76,ID161,M,B,E,E,E0,B,X,D,YX1,A,329,4106,12
