,0,1
0,-1.05,1.0
1,1.02,2.0
2,0.88,1.0
3,0.82,1.0
4,1.02,1.0
5,0.93,1.0
6,-0.44,2.0
7,-0.99,2.0
8,-1.19,1.0
9,0.99,1.0
10,0.3,1.0
11,-0.44,2.0
12,-0.61,1.0
13,-0.58,2.0
14,1.08,2.0
15,0.7,1.0
16,-0.96,2.0
17,0.93,1.0
18,0.62,2.0
19,-0.61,1.0
20,1.19,2.0
21,0.65,1.0
22,-1.05,2.0
23,0.99,1.0
24,-0.9,3.0
25,0.53,1.0
26,-0.84,1.0
27,0.97,2.0
28,-1.05,1.0
29,-1.08,0.0
30,0.62,0.0
31,-0.87,2.0
32,0.65,3.0
33,-1.19,1.0
34,-0.41,3.0
35,-0.44,1.0
36,-0.64,2.0
37,1.62,2.0
38,1.77,1.0
39,-0.96,2.0
40,0.96,1.0
41,0.96,2.0
42,-0.76,2.0
43,0.93,2.0
44,-0.93,1.0
45,0.93,1.0
46,-0.61,1.0
47,-0.67,2.0
48,-0.5,1.0
49,-0.44,2.0
50,-0.61,2.0
51,-0.53,1.0
52,-0.58,1.0
53,-0.64,3.0
54,0.82,1.0
55,0.76,2.0
56,0.36,2.0
57,-0.87,3.0
58,0.47,1.0
59,-0.96,2.0
60,-0.93,3.0
61,-0.93,2.0
62,-0.58,3.0
63,0.65,2.0
64,-0.87,2.0
65,0.9,2.0
66,-0.99,1.0
67,-0.47,2.0
68,-0.47,2.0
69,-0.44,1.0
70,-0.41,1.0
71,1.85,3.0
72,1.86,2.0
73,1.22,2.0
74,0.53,2.0
75,0.59,2.0
76,0.93,2.0
77,-0.73,2.0
78,1.11,1.0
79,-0.99,1.0
80,-0.32,2.0
81,-0.76,3.0
82,0.76,2.0
83,0.44,3.0
84,-0.84,2.0
85,-0.87,1.0
86,-0.29,1.0
87,1.13,2.0
88,-0.61,1.0
89,-0.73,1.0
90,1.16,1.0
91,-0.5,1.0
92,-0.47,2.0
93,-0.32,1.0
94,-0.18,1.0
95,0.99,1.0
96,-0.99,2.0
97,-0.67,2.0
98,-0.38,1.0
99,1.34,2.0
100,-1.05,3.0
101,1.05,2.0
102,1.28,3.0
103,2.03,2.0
104,1.68,3.0
105,0.01,2.0
106,1.54,3.0
107,1.94,2.0
108,-0.96,3.0
109,-0.79,1.0
110,0.87,2.0
111,-0.64,1.0
112,-0.44,3.0
113,-1.13,3.0
114,0.33,2.0
115,-0.99,1.0
116,0.96,1.0
117,0.76,2.0
118,0.47,3.0
119,0.82,2.0
120,-0.24,2.0
121,-0.32,1.0
122,0.85,1.0
123,0.65,2.0
124,-0.41,3.0
125,1.02,1.0
126,-0.99,2.0
127,-0.56,1.0
128,1.02,1.0
129,-0.58,1.0
130,-0.35,2.0
131,2.03,1.0
132,1.74,3.0
133,1.77,2.0
134,1.51,2.0
135,1.86,3.0
136,-0.79,3.0
137,-0.55,1.0
138,-0.99,1.0
139,-0.84,3.0
140,0.36,2.0
141,-0.58,2.0
142,-0.29,1.0
143,-0.99,1.0
144,0.5,1.0
145,0.47,2.0
146,-0.5,2.0
147,-1.16,1.0
148,-0.35,3.0
149,1.8,2.0
150,1.77,3.0
151,-0.56,1.0
152,-0.41,2.0
153,-0.29,3.0
154,-0.9,2.0
155,-0.21,2.0
156,1.51,3.0
157,0.65,1.0
158,-0.67,3.0
159,0.27,2.0
160,0.5,3.0
161,-0.56,1.0
162,0.5,3.0
163,-1.45,2.0
164,0.39,1.0
165,-1.74,3.0
166,0.59,1.0
167,-1.6,1.0
168,-1.8,1.0
169,-1.48,2.0
170,-0.93,2.0
171,-1.57,3.0
172,0.67,3.0
173,1.13,2.0
174,1.14,2.0
175,1.02,3.0
176,-1.16,2.0
177,-1.11,3.0
178,0.87,2.0
179,1.16,3.0
180,-1.63,1.0
181,-1.66,2.0
182,-1.92,3.0
183,0.21,2.0
184,0.33,1.0
185,0.18,2.0
186,-0.5,2.0
187,-0.7,3.0
188,-1.08,3.0
189,0.96,2.0
190,-1.19,3.0
191,0.9,2.0
192,-0.44,2.0
193,-0.47,3.0
194,-0.32,1.0
195,-1.4,1.0
196,-1.48,2.0
197,-0.56,1.0
198,-1.45,3.0
199,-1.66,3.0
200,-0.53,2.0
201,-1.37,1.0
202,-1.6,2.0
203,-1.86,3.0
204,-1.51,1.0
205,-1.51,2.0
206,-0.99,1.0
207,0.79,1.0
208,0.65,1.0
209,-0.96,3.0
210,0.76,2.0
211,-0.53,3.0
212,-0.29,1.0
213,-0.61,1.0
214,-0.41,2.0
215,-0.47,1.0
216,1.08,2.0
217,-1.16,3.0
218,1.28,3.0
219,0.56,1.0
220,1.48,2.0
221,0.79,2.0
222,-0.87,2.0
223,0.36,1.0
224,1.19,2.0
225,-1.57,1.0
226,1.39,1.0
227,0.59,2.0
228,0.87,3.0
229,0.93,3.0
230,0.79,3.0
231,1.28,1.0
232,1.71,3.0
233,1.63,1.0
234,0.99,1.0
235,2.2,2.0
236,1.08,1.0
237,1.66,3.0
238,2.23,1.0
239,1.51,2.0
240,-0.7,3.0
241,-0.67,1.0
242,-0.58,2.0
243,-1.16,2.0
244,-1.48,3.0
245,-0.44,1.0
246,-1.74,1.0
247,-0.47,2.0
248,-1.51,1.0
249,-1.51,2.0
250,-1.51,3.0
251,-0.47,2.0
252,-1.51,2.0
253,-1.51,3.0
254,1.28,3.0
255,-0.35,1.0
256,0.36,2.0
257,1.02,3.0
258,1.34,3.0
259,1.31,2.0
260,-0.76,1.0
261,0.5,2.0
262,-0.9,1.0
263,1.22,3.0
264,1.77,1.0
265,1.68,3.0
266,1.83,1.0
267,1.68,3.0
268,1.77,1.0
269,1.51,3.0
270,-0.73,3.0
271,-0.38,2.0
272,-0.47,3.0
273,-0.58,2.0
274,1.11,2.0
275,1.94,1.0
276,1.86,1.0
277,1.91,1.0
278,-0.5,2.0
279,-0.47,1.0
280,-0.73,1.0
281,-1.28,3.0
282,1.28,2.0
283,-1.51,1.0
284,1.66,1.0
285,-1.48,2.0
286,-1.25,2.0
287,-1.45,1.0
288,-0.67,1.0
289,-1.77,2.0
290,1.54,2.0
291,-1.4,3.0
292,-1.6,2.0
293,-0.79,1.0
294,-1.37,3.0
295,-1.54,1.0
296,-0.99,1.0
297,-1.11,2.0
298,1.97,1.0
299,1.57,1.0
300,1.83,1.0
301,1.8,1.0
302,1.42,3.0
303,1.6,3.0
304,1.88,3.0
305,1.42,1.0
306,1.8,2.0
307,-0.29,3.0
308,1.83,3.0
309,0.82,1.0
310,-0.5,2.0
311,1.65,1.0
312,-0.76,3.0
313,1.34,2.0
314,-0.44,1.0
315,1.83,1.0
316,-0.55,2.0
317,1.63,2.0
318,-0.35,3.0
319,-0.96,1.0
320,-0.44,1.0
321,-0.79,2.0
322,0.84,1.0
323,-0.38,3.0
324,-0.58,1.0
325,0.78,3.0
326,-0.44,2.0
327,1.13,3.0
328,-0.5,3.0
329,-0.7,1.0
330,-0.53,2.0
331,0.59,1.0
332,-0.82,1.0
333,-0.38,2.0
334,-0.82,2.0
335,0.9,3.0
336,2.09,1.0
337,1.95,2.0
338,0.24,3.0
339,-0.29,2.0
340,1.85,3.0
341,-0.32,2.0
342,1.02,2.0
343,1.34,2.0
344,1.31,3.0
345,-1.13,1.0
346,0.99,1.0
347,-1.05,2.0
348,0.5,3.0
349,1.14,1.0
350,-1.08,2.0
351,0.93,3.0
352,1.05,2.0
353,-0.5,1.0
354,-0.58,2.0
355,-0.55,2.0
356,-0.29,2.0
357,1.25,1.0
358,1.25,3.0
359,-0.93,2.0
360,1.22,2.0
361,0.52,1.0
362,-0.58,3.0
363,1.34,2.0
364,0.5,1.0
365,0.96,2.0
366,0.61,1.0
367,-0.67,2.0
368,0.21,1.0
369,1.16,2.0
370,1.91,3.0
371,1.37,2.0
372,-1.8,3.0
373,0.76,2.0
374,1.42,1.0
375,1.8,2.0
376,1.74,3.0
377,0.78,1.0
378,-0.96,3.0
379,1.65,1.0
380,1.4,2.0
381,1.25,2.0
382,1.19,1.0
383,0.73,3.0
384,1.83,3.0
385,-0.73,3.0
386,1.19,3.0
387,1.89,2.0
388,1.42,1.0
389,1.16,2.0
390,1.94,1.0
391,0.47,1.0
392,1.54,3.0
393,0.67,3.0
394,1.48,1.0
395,1.66,3.0
396,1.22,2.0
397,-0.76,1.0
398,1.45,3.0
399,-0.53,2.0
400,1.83,3.0
401,1.74,2.0
402,0.82,1.0
403,0.7,1.0
404,1.02,2.0
405,1.02,1.0
406,0.58,2.0
407,1.69,1.0
408,0.36,2.0
409,1.31,1.0
410,0.9,1.0
411,-0.35,3.0
412,-0.23,1.0
413,1.45,3.0
414,-0.87,2.0
415,0.42,1.0
416,0.93,1.0
417,1.74,1.0
418,0.16,1.0
419,1.63,1.0
420,0.56,1.0
421,0.5,1.0
422,1.71,1.0
423,0.9,1.0
424,0.39,1.0
425,-1.77,3.0
426,0.47,2.0
427,-0.03,1.0
428,-0.76,3.0
429,-0.9,3.0
430,1.45,3.0
431,1.11,2.0
432,0.62,1.0
433,0.44,1.0
434,-0.12,2.0
435,0.93,1.0
436,1.68,2.0
437,1.25,3.0
438,1.94,2.0
439,0.27,1.0
440,-0.73,2.0
441,0.39,3.0
442,-0.35,2.0
443,-0.56,1.0
444,-0.9,3.0
445,1.51,1.0
446,1.8,3.0
447,1.57,2.0
448,1.8,3.0
449,1.71,1.0
450,1.6,2.0
451,-0.7,1.0
452,-0.9,2.0
453,0.39,1.0
454,1.37,1.0
455,1.65,1.0
456,-0.03,3.0
457,-0.58,1.0
458,-1.02,2.0
459,-0.56,1.0
460,1.48,1.0
461,0.27,2.0
462,0.18,3.0
463,-0.84,3.0
464,1.6,1.0
465,1.45,1.0
466,1.42,2.0
467,1.94,3.0
468,1.42,3.0
469,1.45,1.0
470,1.57,2.0
471,2.2,2.0
472,0.39,1.0
473,1.66,2.0
474,1.16,2.0
475,-0.58,3.0
476,1.22,1.0
477,1.71,2.0
478,1.05,1.0
479,1.69,2.0
480,1.4,2.0
481,1.25,2.0
482,1.39,1.0
483,0.1,2.0
484,-0.9,3.0
485,1.25,1.0
486,1.97,1.0
487,1.69,1.0
488,-1.66,1.0
489,-0.2,2.0
490,0.39,2.0
491,1.02,3.0
492,1.88,3.0
493,2.09,3.0
494,1.97,3.0
495,1.94,3.0
496,1.16,1.0
497,0.41,2.0
498,-0.29,1.0
499,1.02,3.0
500,-0.18,1.0
501,-0.32,3.0
502,1.1,3.0
503,1.05,2.0
504,1.08,2.0
505,0.61,3.0
506,-0.55,3.0
507,0.21,3.0
508,0.42,1.0
509,-0.87,2.0
510,-0.73,2.0
511,1.63,3.0
512,0.36,1.0
513,-0.76,2.0
514,1.48,1.0
515,1.37,2.0
516,0.49,3.0
517,-0.29,1.0
518,-0.9,1.0
519,0.35,3.0
520,-0.38,3.0
521,1.45,1.0
522,0.12,2.0
523,1.25,1.0
524,1.02,1.0
525,-0.64,2.0
526,1.05,2.0
527,1.22,3.0
528,1.22,3.0
529,1.42,3.0
530,1.48,1.0
531,1.37,2.0
532,0.27,3.0
533,0.21,2.0
534,-0.9,3.0
535,-0.79,1.0
536,-0.93,2.0
537,-0.96,2.0
538,-0.61,3.0
539,-0.64,1.0
540,-0.23,1.0
541,-0.61,2.0
542,-0.96,3.0
543,-0.84,3.0
544,1.39,2.0
545,-0.47,3.0
546,1.45,3.0
