,220X150,220X151,300X4,311X27,311X28,312X5,312X10,312X15,312X20,312X25,312X30,312X35,312X40,312X45,312X50,312X55,312X61,312X67,312X73,312X79,312X85,312X91,312X97,312X103,312X109,312X115,312X121,312X127,312X133,312X139,312X145,312X151,312X157,312X163,312X169,312X175,312X181,312X187,312X193,312X199,312X205,312X211,312X217,312X223,312X229,312X235,312X240,312X246,312X251,312X257,312X263,312X269,312X275,312X281,312X287,312X293,312X299,312X305,312X311,312X317,312X323,312X329,312X335,312X341,312X347,312X353,312X359,312X365,312X371,312X377,312X383,312X389,312X395,312X401,312X407,312X413,312X419,312X430,312X436,312X442,312X448,312X454,312X460,312X466,312X472,312X478,312X484,312X490,312X496,312X502,312X508,312X514,312X520,312X526,312X532,312X538,312X544,312X550,312X556,312X562,312X568,312X574,312X580,312X586,312X592,312X598,312X604,312X610,312X616,312X622,312X628,312X634,312X640,312X646,312X652,312X658,312X664,312X670,312X676,312X682,312X688,312X694,312X699,312X704,312X709,312X714,312X720,312X726,312X732,312X738,312X744,312X750,312X756,312X762,312X768,312X774,312X780,312X786,312X792,312X798,340X12,340X14,340X16,340X32,340X50,340X52,340X54,340X56,340X58,340X60,340X62,340X64,340X66,340X68,340X70,340X72,340X74,340X76,340X78,340X80,340X82,340X84,340X86,340X88,340X90,340X92,340X94,340X96,340X98,340X100,340X102,340X104,340X106,340X112,340X114,340X116,340X118,340X120,340X122,340X131,340X142,340X144,340X146,340X148,340X150,340X152,340X154,340X156,340X158,340X160,340X162,340X164,340X166,340X168,340X170,340X172,340X174,340X176,340X178,340X180
0,,,20170727154153.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,20170727153852.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,20170727154541.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,20170726140945.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,20170726141733.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,20170726144048.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,20170726145237.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,8.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,227.0,232.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.8,24.0,31.7,31.8,31.6,25.0,0.0,18.4,18.4,18.4,18.4,15.0,15.0,15.0,15.0,47.4,47.9,47.2,47.2,19.2,19.3,18.7,19.4,-2.0,-2.0,-4.0,0.0,2001.0,2005.0,1998.0,2000.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.1,9.9,10.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3002.0,2999.0,44.0,44.0,44.0,0.0,0.0,0.0,3000.0,58.0,58.0,58.0,0.0,0.0,0.0,2066.0,2080.0,2042.0,14.0,-0.6,20.0,-17.0,0.0,111.4,111.5,111.3,106.0,106.1,105.9,110.0,25.0,110.1,110.2,110.0,100.4,100.4,100.3,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,20170725194937.0,,8.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,227.0,232.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,20.0,19.4,35.2,35.3,35.1,25.0,0.0,18.4,18.4,18.4,18.4,15.0,15.0,14.9,15.0,47.4,47.9,47.3,47.2,19.2,19.3,18.7,19.4,-2.0,-2.0,-4.0,0.0,2001.0,2002.0,1998.0,2000.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.1,9.9,10.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3001.0,2999.0,44.0,44.0,44.0,0.0,0.0,0.0,3000.0,58.0,58.0,58.0,0.0,0.0,0.0,2067.0,2081.0,2043.0,14.0,0.2,20.0,-15.0,0.0,106.7,107.0,106.4,107.7,107.8,107.5,110.0,25.0,110.1,110.2,110.0,100.6,100.6,100.5,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,20170725195829.0,8.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,225.0,232.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,12.7,12.4,32.7,32.9,32.6,25.0,0.0,18.4,18.6,18.4,18.4,15.0,15.1,14.9,15.0,47.3,47.9,47.2,47.2,19.2,19.4,18.4,19.4,1.0,2.0,0.0,0.0,1997.0,1998.0,1995.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-4.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,10.1,9.9,10.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3002.0,2999.0,39.0,39.0,39.0,0.0,0.0,0.0,3000.0,56.0,56.0,56.0,0.0,0.0,0.0,2066.0,2078.0,2043.0,14.0,0.6,25.0,-20.0,0.0,109.0,109.2,108.8,106.0,106.1,105.9,110.0,25.0,110.1,110.1,110.0,101.6,101.7,101.6,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
