,0,1,2,3
0,220,220,220,220
1,220,220,220,220
2,220,220,220,220
3,220,220,220,220
4,520,520,520,520
5,520,520,520,520
6,520,520,520,520
7,520,520,520,520
8,520,520,520,520
9,520,520,520,520
10,520,520,520,520
11,520,520,520,210
12,520,520,520,520
13,520,520,520,210
14,210,210,210,210
15,210,210,210,210
16,210,210,210,210
17,210,210,210,520
18,210,210,210,520
19,220,220,220,750
20,220,220,220,750
21,220,220,220,750
22,220,220,220,750
23,220,220,220,750
24,220,220,220,750
25,220,220,220,750
26,220,220,220,220
27,220,220,220,220
28,220,220,220,220
29,220,220,220,220
30,220,220,220,220
31,220,220,220,220
32,220,220,220,220
33,220,220,220,220
34,220,220,220,220
35,750,750,750,220
36,261,261,261,220
37,261,261,261,220
38,261,261,261,220
39,261,261,261,220
40,750,750,750,220
41,750,750,750,220
42,311,311,311,261
43,750,750,750,261
44,750,750,750,261
45,750,750,750,300
46,261,261,261,261
47,311,311,311,300
48,261,261,261,261
49,311,311,311,311
50,300,300,300,261
51,300,300,300,311
52,300,300,300,311
53,300,300,300,300
54,300,300,300,300
55,300,300,300,300
56,300,300,300,300
57,300,311,300,300
58,300,750,300,300
59,300,311,300,300
60,311,311,311,300
61,750,311,750,311
62,311,311,311,311
63,311,310,311,311
64,311,310,311,311
65,311,310,311,311
66,310,310,310,310
67,310,310,310,310
68,310,310,310,310
69,310,310,310,310
70,310,310,310,310
71,310,330,310,310
72,310,330,310,310
73,310,330,310,310
74,330,330,330,330
75,330,330,330,330
76,330,420,330,330
77,330,420,330,330
78,330,420,330,330
79,420,420,420,420
80,420,400,420,420
81,420,400,420,420
82,360,400,360,420
83,400,360,400,400
84,400,360,400,400
85,360,360,360,360
86,360,360,360,360
87,360,360,360,360
88,360,360,360,360
89,360,400,360,360
90,360,400,360,360
91,400,360,400,400
92,400,400,400,400
93,400,400,400,400
94,400,400,400,400
95,400,400,400,400
96,400,400,400,400
97,400,400,400,400
98,400,400,400,400
99,400,400,400,400
100,400,400,400,400
101,400,300,400,400
102,420,300,420,400
103,400,300,400,360
