,10,11,12,13,14,15
0,220,220,220,220,220,220
1,220,220,220,220,220,220
2,220,220,220,220,220,220
3,220,220,220,220,220,220
4,520,520,520,210,520,520
5,520,520,520,520,520,520
6,520,520,520,520,520,520
7,520,520,520,520,520,520
8,520,520,520,520,520,520
9,520,520,520,520,520,520
10,520,520,520,520,520,520
11,520,520,520,520,210,210
12,520,520,520,520,520,520
13,520,520,520,210,210,210
14,210,210,210,210,210,210
15,210,210,210,210,210,210
16,210,210,210,210,210,210
17,210,210,210,520,520,520
18,210,210,210,520,520,520
19,220,220,220,220,750,750
20,220,220,220,220,750,750
21,220,220,220,220,750,750
22,220,220,220,220,750,750
23,220,220,220,220,750,750
24,220,220,220,220,750,750
25,220,220,220,220,750,750
26,220,220,220,220,220,220
27,220,220,220,220,220,220
28,220,220,220,220,220,220
29,220,220,220,220,220,220
30,220,220,220,220,220,220
31,220,220,220,220,220,220
32,220,220,220,220,220,220
33,220,220,220,220,220,220
34,220,220,220,220,220,220
35,750,750,750,750,220,220
36,261,261,261,750,220,220
37,261,261,261,750,220,220
38,261,261,261,750,220,220
39,261,261,261,750,220,220
40,750,750,750,750,220,220
41,750,750,750,750,220,220
42,311,311,311,300,261,261
43,750,750,750,261,261,261
44,750,750,750,300,261,261
45,750,750,750,300,300,300
46,261,261,261,300,261,261
47,311,311,311,300,300,300
48,261,261,261,300,261,261
49,311,311,311,300,311,311
50,300,300,300,300,261,261
51,300,300,300,300,311,311
52,300,300,300,261,310,311
53,300,300,300,261,311,310
54,300,300,300,261,310,310
55,300,300,300,261,310,310
56,300,300,300,311,310,310
57,300,300,300,311,310,310
58,300,300,300,261,310,310
59,300,300,300,311,310,310
60,311,311,311,311,300,300
61,750,750,750,311,300,300
62,311,311,311,311,300,300
63,311,311,311,311,300,300
64,311,311,310,300,300,300
65,311,311,310,311,300,300
66,310,310,310,310,311,311
67,310,310,310,310,300,311
68,310,310,310,310,300,311
69,310,310,310,310,310,311
70,310,310,310,310,311,310
71,310,310,310,310,311,311
72,310,310,330,310,311,300
73,310,310,330,310,311,330
74,330,330,330,330,330,330
75,330,330,330,330,330,330
76,330,330,330,330,330,330
77,330,330,420,330,330,330
78,330,330,420,330,330,420
79,420,420,420,400,420,420
80,420,420,420,360,420,420
81,420,420,360,360,420,420
82,360,360,400,360,420,400
83,400,400,400,360,400,400
84,400,400,360,360,400,360
85,360,360,360,360,360,360
86,360,360,360,360,360,360
87,360,360,360,400,360,360
88,360,360,360,400,360,360
89,360,360,360,420,360,360
90,360,360,400,420,360,400
91,400,400,400,420,400,400
92,400,400,400,420,400,400
93,400,400,400,400,400,400
94,400,400,400,400,400,400
95,400,400,400,400,400,400
96,400,400,400,400,400,400
97,400,400,400,400,400,400
98,400,400,400,400,400,400
99,400,400,400,400,400,400
100,400,400,400,400,400,400
101,400,400,400,400,400,400
102,420,420,311,400,400,360
103,400,400,311,400,360,300
