,0,1
0,2,1
1,-5,2
2,2,1
3,0,1
4,0,1
5,2,1
6,-5,2
7,-5,2
8,0,1
9,0,1
10,0,1
11,-5,2
12,2,1
13,-5,2
14,-5,2
15,2,1
16,-5,2
17,0,1
18,-5,2
19,0,1
20,-5,2
21,0,1
22,-5,2
23,0,1
24,-2,3
25,2,1
26,0,1
27,-5,2
28,2,1
29,0,0
30,0,0
31,-5,2
32,-2,3
33,0,1
34,-2,3
35,2,1
36,-5,2
37,-5,2
38,0,1
39,-5,2
40,2,1
41,-5,2
42,-5,2
43,-5,2
44,0,1
45,2,1
46,2,1
47,-5,2
48,0,1
49,-5,2
50,-5,2
51,0,1
52,2,1
53,-2,3
54,2,1
55,-5,2
56,-5,2
57,-2,3
58,2,1
59,-5,2
60,-5,3
61,-5,2
62,-2,3
63,-5,2
64,-5,2
65,-5,2
66,0,1
67,-5,2
68,-5,2
69,0,1
70,0,1
71,-2,3
72,-5,2
73,-5,2
74,-5,2
75,-5,2
76,-5,2
77,-5,2
78,2,1
79,2,1
80,-5,2
81,-2,3
82,-5,2
83,-2,3
84,-5,2
85,0,1
86,2,1
87,-5,2
88,0,1
89,2,1
90,2,1
91,0,1
92,-5,2
93,0,1
94,2,1
95,2,1
96,-5,2
97,-5,2
98,0,1
99,-5,2
100,-2,3
101,-5,2
102,-2,3
103,-5,2
104,-2,3
105,-5,2
106,-2,3
107,-5,2
108,-2,3
109,2,1
110,-5,2
111,0,1
112,-2,3
113,-2,3
114,-5,2
115,2,1
116,0,1
117,-5,2
118,-2,3
119,-5,2
120,-5,2
121,2,1
122,2,1
123,-5,2
124,-2,3
125,0,1
126,-5,2
127,2,1
128,2,1
129,2,1
130,-5,2
131,2,1
132,-2,3
133,-5,2
134,-5,2
135,-2,3
136,-2,3
137,0,1
138,2,1
139,-2,3
140,-5,2
141,-5,2
142,2,1
143,0,1
144,2,1
145,-5,2
146,-5,2
147,0,1
148,-2,3
149,-5,2
150,-2,3
151,2,1
152,-5,2
153,-2,3
154,-5,2
155,-5,2
156,-2,3
157,0,1
158,-2,3
159,-5,2
160,-2,3
161,0,1
162,-2,3
163,-5,2
164,0,1
165,-2,3
166,0,1
167,0,1
168,0,1
169,-5,2
170,-5,2
171,-2,3
172,-2,3
173,-5,2
174,-5,2
175,-5,3
176,-5,2
177,-5,3
178,-5,2
179,-5,3
180,0,1
181,-5,2
182,-2,3
183,-5,2
184,0,1
185,-5,2
186,-5,2
187,-2,3
188,-2,3
189,-5,2
190,-2,3
191,-5,2
192,-5,2
193,-2,3
194,0,1
195,0,1
196,-5,2
197,2,1
198,-2,3
199,-2,3
200,-5,2
201,0,1
202,-5,2
203,-2,3
204,0,1
205,-5,2
206,0,1
207,2,1
208,2,1
209,-2,3
210,-5,2
211,-2,3
212,0,1
213,0,1
214,-5,2
215,2,1
216,-5,2
217,-2,3
218,-2,3
219,2,1
220,-5,2
221,-5,2
222,-5,2
223,2,1
224,-5,2
225,2,1
226,0,1
227,-5,2
228,-2,3
229,-2,3
230,-2,3
231,2,1
232,-2,3
233,2,1
234,0,1
235,-5,2
236,0,1
237,-2,3
238,0,1
239,-5,2
240,-2,3
241,2,1
242,-5,2
243,-5,2
244,-2,3
245,2,1
246,2,1
247,-5,2
248,2,1
249,-5,2
250,-2,3
251,-5,2
252,-5,2
253,-2,3
254,-2,3
255,0,1
256,-5,2
257,-2,3
258,-2,3
259,-5,2
260,0,1
261,-5,2
262,2,1
263,-2,3
264,0,1
265,-2,3
266,0,1
267,-2,3
268,0,1
269,-2,3
270,-2,3
271,-5,2
272,-2,3
273,-5,2
274,-5,2
275,0,1
276,0,1
277,0,1
278,-5,2
279,0,1
280,2,1
281,-2,3
282,-5,2
283,0,1
284,0,1
285,-5,2
286,-5,2
287,0,1
288,0,1
289,-5,2
290,-5,2
291,-2,3
292,-5,2
293,0,1
294,-2,3
295,0,1
296,0,1
297,-5,2
298,0,1
299,0,1
300,0,1
301,0,1
302,-2,3
303,-2,3
304,-2,3
305,0,1
306,-5,2
307,-2,3
308,-2,3
309,0,1
310,-5,2
311,0,1
312,-2,3
313,-5,2
314,0,1
315,0,1
316,-5,2
317,-5,2
318,-2,3
319,2,1
320,0,1
321,-5,2
322,2,1
323,-2,3
324,0,1
325,-5,3
326,-5,2
327,-5,3
328,-2,3
329,0,1
330,-5,2
331,0,1
332,2,1
333,-5,2
334,-5,2
335,-5,3
336,0,1
337,-5,2
338,-2,3
339,-5,2
340,-2,3
341,-5,2
342,-5,2
343,-5,2
344,-2,3
345,2,1
346,2,1
347,-5,2
348,-2,3
349,2,1
350,-5,2
351,-2,3
352,-5,2
353,2,1
354,-5,2
355,-5,2
356,-5,2
357,0,1
358,-2,3
359,-5,2
360,-5,2
361,0,1
362,-2,3
363,-5,2
364,2,1
365,-5,2
366,0,1
367,-5,2
368,0,1
369,-5,2
370,-2,3
371,-5,2
372,-2,3
373,-5,2
374,0,1
375,-5,2
376,-2,3
377,2,1
378,-2,3
379,0,1
380,-5,2
381,-5,2
382,0,1
383,-5,3
384,-2,3
385,-2,3
386,-2,3
387,-5,2
388,0,1
389,-5,2
390,0,1
391,0,1
392,-2,3
393,-2,3
394,0,1
395,-2,3
396,-5,2
397,0,1
398,-2,3
399,-5,2
400,-2,3
401,-5,2
402,2,1
403,2,1
404,-5,2
405,2,1
406,-5,2
407,0,1
408,-5,2
409,0,1
410,2,1
411,-2,3
412,2,1
413,-2,3
414,-5,2
415,0,1
416,0,1
417,0,1
418,0,1
419,0,1
420,2,1
421,2,1
422,2,1
423,0,1
424,2,1
425,-2,3
426,-5,2
427,2,1
428,-2,3
429,-2,3
430,-2,3
431,-5,2
432,2,1
433,2,1
434,-5,2
435,2,1
436,-5,2
437,-2,3
438,-5,2
439,2,1
440,-5,2
441,-2,3
442,-5,2
443,0,1
444,-2,3
445,2,1
446,-2,3
447,-5,2
448,-2,3
449,0,1
450,-5,2
451,0,1
452,-5,2
453,0,1
454,0,1
455,0,1
456,-2,3
457,2,1
458,-5,2
459,2,1
460,0,1
461,-5,2
462,-2,3
463,-2,3
464,0,1
465,0,1
466,-5,2
467,-2,3
468,-2,3
469,2,1
470,-5,2
471,-5,2
472,0,1
473,-5,2
474,-5,2
475,-2,3
476,0,1
477,-5,2
478,2,1
479,-5,2
480,-5,2
481,-5,2
482,0,1
483,-5,2
484,-2,3
485,2,1
486,0,1
487,2,1
488,2,1
489,-5,2
490,-5,2
491,-2,3
492,-2,3
493,-2,3
494,-2,3
495,-2,3
496,0,1
497,-5,2
498,0,1
499,-2,3
500,0,1
501,-2,3
502,-2,3
