,TOOL_ID,Tool,TOOL_ID (#1),TOOL_ID (#2),Tool (#2),tool (#1),TOOL,TOOL (#1),TOOL (#2),Tool (#1),tool,Tool (#3)
0,4,1,0,2,2,7,2,1,0,2,1,10
1,3,1,0,2,2,8,2,1,0,1,2,10
2,2,1,0,2,2,7,2,1,0,2,1,10
3,3,1,0,2,1,8,2,1,0,1,1,10
4,3,1,0,2,1,7,2,1,0,1,1,12
5,3,1,0,2,1,7,2,1,0,1,1,11
6,4,1,0,2,1,8,2,1,0,2,2,12
7,4,1,0,2,2,7,2,1,0,3,2,13
8,4,1,0,2,2,8,2,1,0,3,1,14
9,3,1,0,2,2,6,2,1,0,6,1,10
10,2,1,0,2,2,7,2,1,0,4,1,12
11,0,1,0,2,1,6,2,1,0,2,2,10
12,0,1,0,2,1,8,2,1,0,1,1,10
13,0,1,0,2,1,7,2,1,0,2,2,10
14,3,1,0,1,1,7,2,1,0,2,2,12
15,2,1,0,1,1,6,2,1,0,1,1,12
16,4,1,0,1,1,8,2,1,0,2,2,13
17,3,1,0,1,1,7,2,1,0,1,1,13
18,2,1,0,1,1,6,2,1,0,2,2,13
19,4,1,0,1,1,8,2,1,0,1,1,14
20,3,1,0,1,1,7,2,1,0,2,2,14
21,2,1,0,1,1,6,2,1,0,1,1,14
22,4,1,0,1,1,8,2,1,0,2,2,10
23,3,1,0,1,1,7,2,1,0,1,1,10
24,4,1,1,2,2,6,1,1,0,3,3,5
25,2,1,1,2,2,6,1,1,0,4,1,9
26,4,1,0,1,1,6,2,1,0,1,1,10
27,2,1,1,2,1,8,2,1,0,2,2,6
28,4,1,1,2,1,6,2,1,0,1,1,9
29,4,1,1,2,2,7,1,1,0,5,0,9
30,2,1,1,2,2,8,1,1,0,7,0,8
31,4,1,0,2,1,8,2,1,0,2,2,11
32,2,1,0,2,1,7,2,1,0,1,3,11
33,4,1,0,2,1,8,2,1,0,2,1,11
34,0,1,0,1,2,8,2,1,0,3,3,12
35,0,1,0,1,2,6,2,1,0,6,1,12
36,0,1,0,1,2,7,2,1,0,4,2,12
37,3,1,0,2,2,7,2,1,0,7,2,10
38,3,1,0,2,2,7,2,1,0,5,1,11
39,4,1,0,2,1,6,2,1,0,4,2,10
40,3,1,0,2,1,8,2,1,0,3,1,13
41,3,1,0,2,1,6,2,1,0,4,2,11
42,4,1,0,2,1,3,2,1,0,2,2,10
43,3,1,0,2,2,4,2,1,0,1,2,12
44,4,1,0,2,1,7,2,1,0,3,1,11
45,3,1,0,2,2,5,2,1,0,2,1,10
46,0,1,0,2,1,8,2,1,0,7,1,10
47,0,1,0,2,1,7,2,1,0,8,2,10
48,0,1,0,2,1,8,2,1,0,5,1,10
49,0,1,0,2,1,5,2,1,0,1,2,10
50,0,1,0,2,1,7,2,1,0,2,2,5
51,0,1,0,2,1,4,2,1,0,2,1,13
52,0,1,0,2,1,8,2,1,0,1,1,6
53,0,1,0,1,1,6,2,1,0,7,3,8
54,2,1,0,2,2,8,2,1,0,7,1,12
55,2,1,0,2,2,7,2,1,0,8,2,10
56,2,1,0,2,1,7,2,1,0,5,2,12
57,4,1,0,2,1,7,2,1,0,7,3,12
58,2,1,0,2,1,7,2,1,0,8,1,12
59,4,1,0,1,1,8,1,1,0,8,2,12
60,4,1,0,1,1,7,1,1,0,5,3,12
61,4,1,0,1,1,8,1,1,0,7,2,13
62,0,1,0,1,1,6,2,1,0,5,3,8
63,2,1,0,2,1,7,2,1,0,1,2,12
64,4,1,0,2,1,8,2,1,0,2,2,13
65,3,1,0,2,1,7,2,1,0,1,2,13
66,4,1,0,2,2,3,2,1,0,2,1,12
67,0,1,0,2,1,8,2,1,0,7,2,5
68,0,1,0,2,1,8,2,1,0,7,2,9
69,0,1,0,2,1,7,2,1,0,8,1,9
70,0,1,0,2,1,7,2,1,0,8,1,8
71,3,1,0,2,1,8,2,0,0,1,3,14
72,3,1,1,2,1,6,2,1,0,7,2,7
73,3,1,0,2,1,6,2,1,0,1,2,5
74,2,1,0,2,1,8,2,1,0,2,2,7
75,2,1,0,2,1,8,2,1,0,2,2,13
76,3,1,0,2,1,8,2,1,0,2,2,11
77,4,1,0,2,1,8,2,1,0,2,2,12
78,3,1,0,2,1,8,2,1,0,2,1,10
79,4,1,0,2,1,7,2,1,0,2,1,11
80,4,1,1,2,1,8,2,1,0,6,2,6
81,4,1,0,1,0,8,1,1,0,1,3,5
82,3,1,0,1,0,7,1,1,0,2,2,5
83,2,1,0,1,0,8,1,1,0,1,3,6
84,4,1,0,2,1,8,2,1,0,2,2,14
85,4,1,0,2,1,7,2,1,0,1,1,13
86,0,1,0,2,1,8,2,1,0,7,1,8
87,3,1,1,2,2,4,2,1,0,7,2,7
88,0,1,0,2,1,6,2,1,0,5,1,8
89,0,1,0,2,1,6,2,1,0,5,1,5
90,3,1,1,2,2,3,2,1,0,5,1,5
91,0,1,0,2,1,6,2,1,0,5,1,7
92,0,1,0,2,1,8,2,1,0,7,2,8
93,0,1,0,2,1,7,2,1,0,2,1,14
94,0,1,0,2,1,6,2,1,0,1,1,12
95,3,1,0,2,1,7,2,1,0,8,1,13
96,4,1,0,2,1,8,2,1,0,5,2,12
97,4,1,0,2,2,6,2,1,0,6,2,13
98,0,1,0,2,1,8,2,1,0,1,1,13
99,5,1,0,1,1,7,2,1,0,4,2,6
100,4,1,0,1,1,7,2,1,0,3,3,6
101,5,1,0,1,1,7,2,1,0,6,2,7
102,5,1,0,1,1,3,1,1,0,2,3,5
103,3,1,0,1,0,7,1,1,0,2,2,5
104,2,1,0,1,0,8,1,1,0,1,3,6
105,2,1,0,1,1,3,2,1,0,1,2,14
106,2,1,0,1,0,8,1,1,0,1,3,7
107,3,1,0,1,0,7,1,1,0,2,2,7
108,4,1,0,1,1,3,2,1,0,2,3,14
109,4,1,0,1,1,3,2,1,0,1,1,10
110,3,1,0,2,2,5,2,1,0,8,2,11
111,4,1,0,2,2,4,2,1,0,5,1,14
112,4,1,0,2,1,7,2,1,0,2,3,10
113,4,1,0,2,1,8,2,1,0,1,3,14
114,2,1,0,2,1,7,2,1,0,2,2,12
115,4,1,0,2,1,6,2,1,0,1,1,11
116,3,1,0,1,1,6,2,1,0,2,1,5
117,2,1,0,1,1,8,2,1,0,1,2,7
118,2,1,0,2,1,8,2,1,0,1,3,10
