,null_count_all,null_count_210X,null_count_220X,null_count_300X,null_count_310X,null_count_311X,null_count_261X,null_count_312X,null_count_330X,null_count_340X,null_count_344X,null_count_360X,null_count_400X,null_count_420X,null_count_440AX,null_count_520X,null_count_750X
0,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
1,203,0,2,5,0,1,0,134,0,60,0,0,0,0,0,0,0
2,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
3,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
4,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
5,200,0,2,0,0,1,0,134,0,60,0,0,0,0,0,2,0
6,200,0,2,2,0,1,0,134,0,60,0,0,0,0,0,0,0
7,68,0,2,5,0,1,0,0,0,60,0,0,0,0,0,0,0
8,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
9,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
10,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
11,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
12,213,0,2,1,0,15,0,134,0,60,0,0,0,0,0,0,0
13,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
14,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
15,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
16,201,0,2,3,0,1,0,134,0,60,0,0,0,0,0,0,0
17,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
18,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
19,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
20,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
21,203,0,2,5,0,1,0,134,0,60,0,0,0,0,0,0,0
22,200,0,2,2,0,1,0,134,0,60,0,0,0,0,0,0,0
23,200,0,2,2,0,1,0,134,0,60,0,0,0,0,0,0,0
24,62,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0
25,64,0,2,0,0,2,0,0,0,60,0,0,0,0,0,0,0
26,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
27,212,0,2,0,0,15,0,134,0,60,0,0,0,0,0,0,0
28,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
29,62,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0
30,78,0,2,0,0,16,0,0,0,60,0,0,0,0,0,0,0
31,206,0,2,7,0,1,0,134,0,60,0,0,0,0,0,0,0
32,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
33,200,0,2,2,0,1,0,134,0,60,0,0,0,0,0,0,0
34,65,0,2,2,0,1,0,0,0,60,0,0,0,0,0,0,0
35,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
36,70,0,2,6,0,1,0,0,0,60,0,0,0,0,0,0,0
37,65,0,2,2,0,1,0,0,0,60,0,0,0,0,0,0,0
38,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
39,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
40,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
41,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
42,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
43,199,0,2,0,0,2,0,134,0,60,0,0,0,0,0,0,0
44,65,0,2,2,0,1,0,0,0,60,0,0,0,0,0,0,0
45,201,0,2,3,0,1,0,134,0,60,0,0,0,0,0,0,0
46,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
47,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
48,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
49,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
50,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
51,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
52,201,0,2,3,0,1,0,134,0,60,0,0,0,0,0,0,0
53,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
54,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
55,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
56,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
57,64,0,2,0,0,1,0,0,0,60,0,0,0,0,0,1,0
58,65,0,2,2,0,1,0,0,0,60,0,0,0,0,0,0,0
59,66,0,2,0,0,1,0,0,0,60,0,0,0,0,0,3,0
60,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
61,65,0,2,1,0,2,0,0,0,60,0,0,0,0,0,0,0
62,65,0,2,2,0,1,0,0,0,60,0,0,0,0,0,0,0
63,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
64,203,0,2,4,0,1,0,134,0,60,0,0,0,0,0,0,0
65,197,0,2,0,0,0,0,134,0,60,0,0,0,0,0,0,0
66,198,0,2,1,0,0,0,134,0,60,0,0,0,0,0,0,0
67,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
68,65,0,2,2,0,1,0,0,0,60,0,0,0,0,0,0,0
69,66,0,2,3,0,1,0,0,0,60,0,0,0,0,0,0,0
70,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
71,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
72,62,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0
73,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
74,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
75,204,0,2,5,0,2,0,134,0,60,0,0,0,0,0,0,0
76,200,0,2,1,0,2,0,134,0,60,0,0,0,0,0,0,0
77,197,0,2,0,0,0,0,134,0,60,0,0,0,0,0,0,0
78,200,0,2,1,0,2,0,134,0,60,0,0,0,0,0,0,0
79,200,0,2,2,0,1,0,134,0,60,0,0,0,0,0,0,0
80,64,0,2,0,0,2,0,0,0,60,0,0,0,0,0,0,0
81,198,0,2,0,0,1,0,134,0,60,0,0,0,0,0,0,0
82,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
83,197,0,2,0,0,0,0,134,0,60,0,0,0,0,0,0,0
84,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
85,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
86,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
87,62,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0
88,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
89,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
90,64,0,2,0,0,2,0,0,0,60,0,0,0,0,0,0,0
91,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
92,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
93,200,0,2,2,0,1,0,134,0,60,0,0,0,0,0,0,0
94,201,0,2,1,0,1,0,134,0,60,0,0,0,0,0,2,0
95,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
96,63,0,2,0,0,1,0,0,0,60,0,0,0,0,0,0,0
97,64,0,2,1,0,1,0,0,0,60,0,0,0,0,0,0,0
98,199,0,2,1,0,1,0,134,0,60,0,0,0,0,0,0,0
