,210X1,210X2,210X3,210X4,210X5,210X6,210X8,210X10,210X12,210X20,210X23,210X33,210X36,210X39,210X65,210X86,210X87,210X89,210X90,210X91,210X152,210X154,210X155,210X158,210X159,210X160,210X161,210X164,210X165,210X171,210X174,210X175,210X181,210X186,210X187,210X188,210X189,210X191,210X192,210X193,210X195,210X206,210X207,210X210,210X219,210X229,210X230,TOOL
0,102.05,0.465,0.27,1.43,67.45,4.62,-1.05,26.3,0.532,14.3,14.2,0.08,450,53.14,0.004,32896.67,148.265,0.22,0.31,0.19,-4.49,0.703,0.541,0.262,0.322,0.037,0.105,0.748,0.536,69.845,0.72,0.595,0.02,55569.0,12579.73,3702.2,8.09,0.06,0.9,0.01,1.59,575560170,575561554,1.239,35.6,0.3,2.2,N
1,100.95,0.805,0.22,3.477,62.08,3.412,1.02,28.2,2.653,13.9,13.9,0.068,430,63.7,0.005,850.68,192.345,0.2,0.2,0.13,-24.81,0.708,0.662,0.168,0.317,0.027,0.075,0.693,0.674,1.62,0.709,0.681,0.185,70571.5,11327.72,2303.3,108.92,0.05,0.7,0.03,1.37,954718454,954725557,2.067,44.3,0.6,6.6,M
2,98.56,0.555,0.24,1.172,56.7,3.08,0.88,26.6,0.523,14.4,14.7,0.076,425,46.92,0.005,710.6,119.61,0.38,0.25,0.21,-62.415,0.833,0.668,0.331,0.275,0.075,0.057,0.729,0.658,1.48,0.798,0.698,0.005,53008.6,12064.07,13325.4,1223.91,0.02,1.8,0.03,2.68,2118701059,2129132138,1.284,49.4,0.6,1.4,L
3,100.35,0.901,0.22,3.631,62.25,3.949,0.82,25.2,2.582,14.0,13.8,0.07,430,61.87,0.007,775.76,172.085,0.21,0.22,0.14,-40.66,0.738,0.663,0.169,0.31,0.026,0.083,0.696,0.651,1.42,0.708,0.694,0.16,79639.3,9253.6,2183.0,292.93,0.05,0.6,0.01,1.11,878104626,878111727,2.218,38.0,0.4,3.6,M
4,100.25,0.854,0.23,3.429,61.42,3.63,1.02,27.3,2.535,14.2,14.1,0.07,430,61.41,0.005,835.495,196.165,0.21,0.23,0.14,-40.615,0.696,0.681,0.163,0.315,0.029,0.092,0.696,0.693,1.81,0.712,0.705,0.215,89506.7,9164.07,2757.4,359.24,0.05,0.7,0.02,1.79,878630071,878637140,2.111,48.6,0.3,3.6,M
5,100.55,0.882,0.22,3.462,61.85,3.747,0.93,25.3,2.434,14.2,14.1,0.069,430,62.67,0.005,936.945,186.7,0.21,0.22,0.14,-33.625,0.71,0.683,0.155,0.305,0.026,0.073,0.676,0.647,1.825,0.715,0.692,0.235,95210.7,6956.42,3568.4,311.39,0.05,0.9,0.03,2.11,880210195,880217279,2.176,38.7,0.3,3.6,M
6,102.2,0.44,0.27,1.429,67.38,4.628,-0.44,26.5,0.496,14.4,14.1,0.08,450,53.48,0.004,851.985,154.67,0.21,0.35,0.21,-0.315,0.607,0.55,0.199,0.311,0.031,0.122,0.732,0.687,1.94,0.718,0.609,0.015,81204.7,10708.28,3733.7,19.02,0.06,1.1,0.02,2.75,501864399,501865766,1.236,36.9,0.3,2.4,N
7,102.25,0.42,0.27,1.312,67.47,4.614,-0.99,27.1,0.485,14.3,14.2,0.081,450,53.71,0.004,705.29,145.01,0.21,0.34,0.2,-15.2,0.617,0.685,0.201,0.311,0.038,0.121,0.756,0.688,1.22,0.718,0.613,0.015,84547.4,9442.53,3060.7,17.09,0.06,1.0,0.01,2.56,496365628,496367024,1.186,37.5,0.3,2.1,N
8,102.25,0.421,0.27,1.311,67.44,4.631,-1.19,25.9,0.487,14.3,14.4,0.08,450,53.65,0.004,879.88,154.865,0.21,0.35,0.2,10.255,0.772,0.649,0.208,0.318,0.034,0.101,0.714,0.686,1.81,0.72,0.587,0.015,84981.3,10087.26,3198.6,16.9,0.06,1.0,0.01,2.62,496630986,496632352,1.183,48.4,0.3,2.4,N
9,100.85,0.958,0.22,3.705,62.88,4.184,0.99,27.7,2.474,14.2,14.1,0.069,430,63.84,0.006,702.825,173.185,0.21,0.22,0.14,-33.285,0.778,0.619,0.167,0.315,0.03,0.079,0.643,0.77,1.465,0.718,0.7,0.15,97360.6,7739.61,3797.8,277.63,0.06,0.9,0.03,2.58,875900461,875907574,2.349,39.6,0.5,3.6,M
