,220X2,220X3,220X4,220X6,220X9,220X13,220X19,220X21,220X26,220X31,220X55,220X107,220X108,220X112,220X118,220X122,220X143,220X163,220X165,220X167,220X184,220X185,220X193,220X218,220X224,220X277,220X293,220X294,220X305,220X315,220X316,220X333,220X336,220X339,220X343,220X344,220X347,220X348,220X350,220X354,220X356,220X365,220X368,220X375,220X377,220X379,220X382,220X383,220X386,220X387,220X388,220X390,220X407,220X412,220X422,220X424,220X441,220X446,220X457,220X462,220X463,220X471,220X485,220X486,220X523,220X524,220X528,220X533,220X535,220X539,null_count,TOOL
0,1.914323,1,-20.127487,2.866898,0.10451,1.59228,-0.3181,-0.6723,14.472,14.09,24.013672,23.61,0.0,16.184809,-1.416385,3.383308,-187.200786,-0.444692,-0.560141,-0.783835,0.049059,0.041613,0.045162,0.09517,63.0,110.0,1787.0,1762.0,499.0,201.0,104.0,130.3,130.0,130.1,129.9,130.0,130.1,113.0,72.8,65.9,110.5,110.7,110.3,110.2,110.2,110.1,110.1,110.1,110.1,110.2,110.1,182.0,61.0,64.7,45.4,39.8,28.7,23.7,20.5,11.4,7.22,9.0,0.0,2.0,1675.029,2469.0,910.0,6.0,1.0,0.0,0,B
1,1.779558,2,-18.890647,2.816838,0.159569,1.542221,-0.3181,-0.6723,14.635,13.607,24.012858,23.61,0.0,15.115356,-1.285772,3.324758,-31.173884,-0.448968,-0.560141,-0.788118,0.049059,0.038145,0.048636,0.124834,63.0,110.0,1787.0,1762.0,499.0,201.0,104.0,130.2,130.0,130.0,130.0,130.0,129.9,90.0,76.1,79.4,110.4,110.5,110.4,110.1,110.3,110.2,110.2,110.1,110.0,110.1,110.1,182.0,61.0,62.3,45.8,39.9,25.9,23.7,20.4,11.5,7.21,8.0,0.0,1.0,1128.194,2468.0,904.0,6.0,1.0,0.0,0,B
2,1.761537,3,-16.705089,2.634006,0.159998,1.359389,-0.3181,-0.6723,14.481,13.337,24.010824,23.62,0.0,12.96174,-1.165133,2.882348,-176.498591,-0.444692,-0.560141,-0.783835,0.049059,0.041613,0.048636,0.069833,63.0,110.0,1787.0,1762.0,499.0,200.9,104.0,130.1,130.0,130.0,130.0,130.0,129.9,116.0,76.3,67.1,110.5,110.5,110.3,110.2,110.0,110.2,110.2,109.9,110.0,110.1,109.9,182.0,61.0,63.0,45.3,40.4,28.4,23.7,20.4,11.5,7.22,7.0,0.0,2.0,1387.223,2467.0,903.0,6.0,1.0,0.0,0,B
3,1.680758,4,-16.224986,2.423269,0.100362,1.149466,-0.3181,-0.6723,14.467,13.678,23.852132,23.61,0.0,12.627327,-1.327587,2.520222,-202.967026,0.346347,-0.632831,-0.548256,0.049059,0.038145,0.045162,0.106294,112.0,91.0,1788.0,1762.0,495.0,200.9,85.0,130.2,130.0,130.0,129.9,130.0,130.0,185.0,115.7,58.5,110.3,110.4,110.3,110.2,110.1,110.2,110.2,110.1,110.2,110.1,110.0,149.0,61.0,75.3,45.6,39.2,25.3,23.4,20.2,12.0,6.77,2.0,0.0,2.0,1664.677,1507.0,910.0,6.0,1.0,0.0,0,B
4,1.725515,8,-13.05685,2.388602,0.153168,1.09236,-0.3181,-0.6723,14.64,13.769,23.940023,23.61,0.0,9.872958,-0.911785,2.244341,-221.313908,0.354898,-0.628555,-0.535407,0.049059,0.038145,0.048636,0.077867,156.0,91.0,1787.0,1762.0,502.0,201.0,85.0,130.3,130.0,130.1,129.8,129.9,129.8,112.0,56.8,57.0,110.4,110.6,110.3,110.3,110.1,110.1,110.1,110.1,110.1,110.2,110.1,149.0,61.0,61.9,45.2,39.4,25.6,23.4,20.5,11.4,6.78,6.0,0.0,2.0,1238.63,1503.0,906.0,5.9,1.0,1.0,0,B
5,1.684511,20,-12.069183,2.539764,0.149521,1.213221,-0.3181,-0.6723,14.489,12.742,23.75651,23.61,0.0,8.962532,-0.79361,2.149851,-231.558908,0.372002,-0.611451,-0.52684,0.049059,0.038145,0.045162,0.063653,244.0,91.0,1798.0,1763.0,495.0,201.0,85.0,130.2,130.0,130.0,129.9,129.9,129.8,112.0,74.4,65.9,110.4,110.5,110.2,110.2,110.1,110.1,110.1,110.1,110.1,110.2,110.0,149.0,61.0,61.8,45.5,38.9,25.0,23.2,20.4,7.9,6.81,16.0,0.0,2.0,1768.491,1491.0,906.0,5.9,1.0,0.0,0,B
6,1.795371,25,-16.942288,2.609968,0.135646,1.340759,-0.3181,-0.6723,14.615,13.92,23.697103,23.61,0.0,13.750347,-1.347395,2.902256,-99.334472,0.354898,-0.58152,-0.51399,0.052563,0.038145,0.048636,0.074159,224.0,91.0,1787.0,1765.0,495.0,201.0,85.0,130.0,129.7,129.9,129.9,129.8,129.8,150.0,74.1,65.1,110.6,110.6,110.3,110.2,110.1,110.2,110.1,110.0,110.0,110.1,110.1,148.0,60.0,62.8,45.4,39.4,28.7,23.2,20.2,11.7,6.81,11.0,0.0,2.0,1332.5,1486.0,901.0,6.0,1.0,0.0,0,B
7,1.924989,15,-17.718355,2.592316,0.062286,1.322494,-0.3181,-0.6723,14.52,12.842,23.983561,23.68,0.0,14.283709,-1.300742,2.994168,-62.647101,0.389105,-0.637107,-0.603939,0.052563,0.041613,0.048636,0.122362,78.0,87.0,1789.0,1762.0,495.0,201.0,81.0,130.2,130.0,130.1,129.8,129.9,129.9,91.0,74.0,66.7,110.4,110.6,110.4,110.2,110.2,110.1,110.1,109.9,110.1,110.1,110.0,144.0,61.0,75.4,45.2,39.6,26.2,23.2,20.5,11.6,6.67,6.0,0.0,1.0,1371.28,1288.0,894.0,6.0,1.0,0.0,0,B
8,1.871975,18,-21.443718,2.610576,0.172955,1.283648,-0.3181,-0.6723,14.5,13.574,23.994954,23.61,0.0,17.467527,-1.675875,3.512051,-233.669283,0.389105,-0.628555,-0.591089,0.045555,0.041613,0.048636,0.071069,63.0,87.0,1788.0,1762.0,497.0,201.1,81.0,130.3,130.0,130.0,129.8,129.9,129.8,112.0,74.2,66.7,110.5,110.6,110.3,110.2,110.2,110.1,110.1,110.0,110.1,110.1,110.0,144.0,60.0,74.7,45.5,39.7,25.3,23.4,20.2,11.6,6.63,2.0,0.0,2.0,1475.599,1285.0,897.0,6.0,1.0,0.0,0,B
9,1.979149,22,-13.134861,2.566183,0.128909,1.239256,-0.3181,-0.6723,14.485,13.338,23.990885,23.63,0.0,9.874203,-0.734188,2.395594,-204.691889,0.380554,-0.628555,-0.582522,0.052563,0.038145,0.048636,0.09517,156.0,87.0,1787.0,1763.0,502.0,200.9,81.0,130.2,129.9,130.0,129.9,130.0,130.0,90.0,77.1,98.2,110.3,110.5,110.3,110.2,110.3,110.2,110.2,110.1,110.1,110.2,110.1,144.0,60.0,147.7,45.2,39.4,25.9,23.2,20.5,12.2,6.65,14.0,0.0,1.0,1714.165,1281.0,904.0,6.0,1.0,0.0,0,B
