,300X1,null_count,TOOL
0,83752.0,0,E
1,83751.0,0,E
2,83754.0,0,E
3,83279.0,0,E
4,83283.0,0,E
5,83295.0,0,E
6,83302.0,0,E
7,82807.0,0,E
8,82808.0,0,E
9,82812.0,0,E
10,82816.0,0,E
11,82907.0,0,E
12,82906.0,0,E
13,83229.0,0,E
14,83466.0,0,E
15,83465.0,0,E
16,83468.0,0,E
17,83467.0,0,E
18,83470.0,0,E
19,83469.0,0,E
20,83472.0,0,E
21,83471.0,0,E
22,,1,E
23,83473.0,0,E
24,24413.0,0,N
25,24436.0,0,N
26,83489.0,0,E
27,24439.0,0,N
28,24462.0,0,N
29,24387.0,0,N
30,24410.0,0,N
31,83846.0,0,E
32,83845.0,0,E
33,83848.0,0,E
34,83414.0,0,E
35,83413.0,0,E
36,83416.0,0,E
37,84846.0,0,E
38,84848.0,0,E
39,83310.0,0,E
40,83333.0,0,E
41,83349.0,0,E
42,82961.0,0,E
43,82993.0,0,E
44,83352.0,0,E
45,83016.0,0,E
46,83898.0,0,E
47,83897.0,0,E
48,83900.0,0,E
49,83201.0,0,E
50,83362.0,0,E
51,83224.0,0,E
52,,1,E
53,,1,E
54,84170.0,0,E
55,84193.0,0,E
56,84196.0,0,E
57,84195.0,0,E
58,84198.0,0,E
59,85819.0,0,E
60,85818.0,0,E
61,85821.0,0,E
62,83398.0,0,E
63,85447.0,0,E
64,85446.0,0,E
65,85449.0,0,E
66,82992.0,0,E
67,83097.0,0,E
68,83109.0,0,E
69,83108.0,0,E
70,83120.0,0,E
71,84404.0,0,E
72,24228.0,0,N
73,82819.0,0,E
74,82842.0,0,E
75,85448.0,0,E
76,,1,E
77,85458.0,0,E
78,,1,E
79,85470.0,0,E
80,24299.0,0,N
81,86221.0,0,E
82,86220.0,0,E
83,86223.0,0,E
84,83278.0,0,E
85,83301.0,0,E
86,83104.0,0,E
87,24143.0,0,N
88,83106.0,0,E
89,83112.0,0,E
90,24166.0,0,N
91,83118.0,0,E
92,83121.0,0,E
93,83149.0,0,E
94,,1,E
95,83700.0,0,E
96,83723.0,0,E
97,82793.0,0,E
98,83250.0,0,E
99,85897.0,0,E
100,85896.0,0,E
101,,1,E
102,86076.0,0,E
103,86238.0,0,E
104,86241.0,0,E
105,85949.0,0,E
106,,1,E
107,86242.0,0,E
108,85948.0,0,E
109,85951.0,0,E
110,83252.0,0,E
111,83275.0,0,E
112,84248.0,0,E
113,84271.0,0,E
114,83175.0,0,E
115,83198.0,0,E
116,83440.0,0,E
117,83463.0,0,E
118,85051.0,0,E
119,83775.0,0,E
120,83115.0,0,E
121,83116.0,0,E
122,83570.0,0,E
123,83593.0,0,E
124,84933.0,0,E
125,84960.0,0,E
126,24169.0,0,N
127,83437.0,0,E
128,24192.0,0,N
129,84114.0,0,E
130,84137.0,0,E
131,86131.0,0,E
132,86130.0,0,E
133,84326.0,0,E
134,86133.0,0,E
135,84349.0,0,E
136,84222.0,0,E
137,84245.0,0,E
138,83622.0,0,E
139,83869.0,0,E
140,83645.0,0,E
141,,1,E
142,83094.0,0,E
143,83253.0,0,E
144,85184.0,0,E
145,83713.0,0,E
146,85207.0,0,E
147,83716.0,0,E
148,86337.0,0,E
149,83674.0,0,E
150,83697.0,0,E
151,84300.0,0,E
152,84299.0,0,E
153,84302.0,0,E
154,84085.0,0,E
155,83921.0,0,E
156,87025.0,0,E
157,87024.0,0,E
158,84430.0,0,E
159,87039.0,0,E
160,87038.0,0,E
161,84453.0,0,E
162,87049.0,0,E
163,88228.0,0,E
164,87048.0,0,E
165,88231.0,0,E
166,85392.0,0,E
167,88230.0,0,E
168,88241.0,0,E
169,88240.0,0,E
170,85845.0,0,E
171,88243.0,0,E
172,85844.0,0,E
173,85847.0,0,E
174,85857.0,0,E
175,85856.0,0,E
176,,1,E
177,85866.0,0,E
178,85869.0,0,E
179,85868.0,0,E
180,88253.0,0,E
181,88252.0,0,E
182,,1,E
183,87027.0,0,E
184,87036.0,0,E
185,87046.0,0,E
186,83820.0,0,E
187,83843.0,0,E
188,,1,E
189,85209.0,0,E
190,85234.0,0,E
191,85233.0,0,E
192,87347.0,0,E
193,87346.0,0,E
194,87349.0,0,E
195,28720.0,0,N
196,28719.0,0,N
197,83648.0,0,E
198,28722.0,0,N
199,28729.0,0,N
200,83671.0,0,E
201,28732.0,0,N
202,28731.0,0,N
203,28741.0,0,N
204,28744.0,0,N
205,28743.0,0,N
206,85054.0,0,E
207,24276.0,0,N
208,83045.0,0,E
209,85077.0,0,E
210,83068.0,0,E
211,87358.0,0,E
212,87361.0,0,E
213,87368.0,0,E
214,87371.0,0,E
215,87474.0,0,E
216,87477.0,0,E
217,87476.0,0,E
218,87321.0,0,E
219,87320.0,0,E
220,87323.0,0,E
221,84908.0,0,E
222,24287.0,0,N
223,24290.0,0,N
224,24289.0,0,N
225,87447.0,0,E
226,87305.0,0,E
227,87342.0,0,E
228,87304.0,0,E
229,87345.0,0,E
230,87310.0,0,E
231,87344.0,0,E
232,87864.0,0,E
233,87867.0,0,E
234,86778.0,0,E
235,87866.0,0,E
236,86784.0,0,E
237,87887.0,0,E
238,87886.0,0,E
239,87889.0,0,E
240,83662.0,0,E
241,83661.0,0,E
242,83664.0,0,E
243,87422.0,0,E
244,87425.0,0,E
245,83666.0,0,E
246,87424.0,0,E
247,83665.0,0,E
248,87435.0,0,E
249,87434.0,0,E
250,87437.0,0,E
251,85183.0,0,E
252,87446.0,0,E
253,87449.0,0,E
254,85186.0,0,E
255,85185.0,0,E
