,310X2,310X4,310X5,310X6,310X8,310X9,310X10,310X13,310X19,310X20,310X28,310X29,310X30,310X31,310X32,310X33,310X36,310X37,310X42,310X43,310X96,310X101,310X107,310X131,310X132,310X148,310X149,310X150,310X151,310X152,310X153,310X154,310X155,310X156,310X157,310X158,310X159,310X160,310X168,310X170,310X171,310X172,310X175,310X176,310X177,310X178,310X179,310X180,310X181,310X200,310X201,310X202,310X207,TOOL
0,1.548846,-33.772539,-1.347724,-0.151661,0.283387,-0.07498,1.43356,-0.615804,0.0,0.0,12.302,15.777,13.632,15.074,14.343,10541,0,0,-56,-109,23.06,30.043488,-2.348147,-293.501254,431.186234,0.332141,0.465365,0.366206,0.388045,0.277371,0.358847,0.159048,0.09595,0.159856,0.129663,0.11161,0.145151,0.079478,0.031133,0.031077,-0.017325,0.031013,0.038164,0.034614,0.041595,0.041575,0.041646,0.041541,0.052094,0.058,0.061181,0.090845,-139,E
1,1.390483,-30.721306,-0.096295,1.097475,0.347644,0.017675,1.275197,0.633331,0.0,0.0,11.644,15.721,13.021,15.026,14.962,10547,0,0,-56,-109,23.23,26.466079,-3.196104,-267.999494,-236.152129,0.336399,0.469634,0.366206,0.392309,0.273104,0.354575,0.13519,0.103946,0.159856,0.145871,0.119582,0.137087,0.079478,0.031133,0.031077,-0.02079,0.027567,0.038164,0.038076,0.041595,0.041575,0.034705,0.045003,0.055567,0.09,0.098878,0.074777,-144,E
2,1.371704,-29.78819,-1.118516,0.008285,0.474619,0.04449,1.256417,-0.455858,0.0,0.0,12.105,15.58,13.204,14.92,14.08,10545,0,0,-56,-109,23.21,26.490592,-1.930942,-287.994831,382.291604,0.332141,0.465365,0.366206,0.388045,0.277371,0.358847,0.127238,0.103946,0.159856,0.12156,0.103638,0.137087,0.079478,0.031133,0.031077,0.02079,0.031013,0.038164,0.038076,0.041595,0.041575,0.034705,0.048465,0.052094,-0.05,-0.057473,-0.051911,-139,E
3,1.612096,-26.305784,-0.262806,1.026524,0.324386,-0.084158,1.358702,0.532756,0.0,0.0,11.895,15.576,13.734,14.95,14.417,10992,0,0,-56,-114,23.18,22.177015,-2.525133,-282.075314,415.839594,0.302333,0.401324,0.293817,0.358195,0.302974,0.388751,0.13519,0.103946,0.151863,0.129663,0.11161,0.129024,0.079478,0.034592,0.031077,0.024255,0.031013,0.041633,0.038076,0.045062,0.041575,0.041646,0.048465,0.045148,0.072,0.058091,0.058091,-109,E
4,1.44617,-25.248069,0.129196,1.334207,0.383114,0.015648,1.280401,0.856645,0.0,0.0,11.831,15.707,13.629,15.035,14.252,10987,0,0,-56,-109,23.26,21.382951,-2.436911,-273.4167,389.948993,0.302333,0.409863,0.293817,0.36246,0.311509,0.388751,0.13519,0.09595,0.159856,0.137767,0.11161,0.145151,0.079478,0.034592,0.031077,0.024255,0.031013,0.041633,0.038076,0.041595,0.041575,0.038175,0.048465,0.045148,0.051,0.074159,-0.057473,-114,E
5,1.436874,-26.603344,-0.144924,1.204119,0.297197,-0.004267,1.182328,0.696243,0.0,0.0,11.857,15.69,13.678,15.047,14.475,10990,0,0,-56,-109,23.24,22.602583,-2.507397,-348.840574,357.447402,0.302333,0.401324,0.289559,0.36246,0.307242,0.388751,0.127238,0.103946,0.159856,0.137767,0.11161,0.145151,0.079478,0.034592,0.031077,0.02079,0.027567,0.041633,0.038076,0.041595,0.03811,0.038175,0.048465,0.045148,0.062,0.094552,0.058091,-114,E
6,1.524767,-29.181321,-1.73111,-0.426771,0.22079,-0.04459,1.27022,-0.934647,0.0,0.0,11.727,15.778,13.337,15.041,14.109,10994,0,0,-56,-114,23.25,26.077935,-1.356529,-262.132963,-254.325744,0.302333,0.401324,0.293817,0.358195,0.302974,0.397295,0.119286,0.103946,0.159856,0.129663,0.11161,0.137087,0.079478,0.031133,0.031077,-0.017325,0.027567,0.038164,0.038076,0.038129,0.041575,0.034705,0.048465,0.048621,0.1,0.106294,0.090227,-100,E
7,1.561444,-23.707136,-1.899776,-0.843977,0.387937,-0.005992,1.438889,-1.424603,0.0,0.0,11.913,15.764,13.245,15.059,14.085,10998,0,0,-56,-114,23.12,21.569258,-0.319303,-286.097238,-341.269918,0.31085,0.435479,0.293817,0.353931,0.298707,0.363119,0.167,0.103946,0.159856,0.129663,0.11161,0.161279,0.079478,0.031133,0.031077,-0.017325,0.027567,0.038164,0.034614,0.038129,0.03811,0.038175,0.045003,0.055567,0.08,0.088991,-0.061181,-144,E
8,1.402712,-35.051303,-1.110633,-0.116118,0.364223,0.012239,1.367381,-0.630838,0.0,0.0,11.923,15.737,13.709,15.047,14.347,10992,0,0,-56,-114,23.05,30.926402,-2.6471,-273.014608,360.323523,0.31085,0.43121,0.289559,0.358195,0.298707,0.358847,0.13519,0.09595,0.151863,0.129663,0.11161,0.153215,0.079478,0.034592,0.031077,0.02079,0.031013,0.041633,0.034614,0.041595,0.041575,0.038175,0.045003,0.052094,0.089,-0.054383,-0.054383,-163,E
9,1.553856,-22.453739,-0.751716,0.156397,0.410577,0.02616,1.518526,-0.358323,0.0,0.0,11.525,15.736,13.76,15.049,14.369,10992,0,0,-56,-109,23.25,19.17983,-1.32298,-326.877403,326.024483,0.315108,0.435479,0.2853,0.358195,0.298707,0.358847,0.143143,0.09595,0.151863,0.129663,0.11161,0.145151,0.079478,0.034592,0.031077,0.02079,0.027567,0.041633,0.038076,0.041595,0.045039,0.034705,0.051927,0.048621,0.064,0.074159,-0.058709,-153,E
