,311X1,311X7,311X8,311X9,311X10,311X12,311X20,311X21,311X50,311X55,311X63,311X66,311X69,311X76,311X95,311X96,311X97,311X115,311X183,311X184,311X185,311X195,311X199,311X217,311X218,311X219,311X222,311X224,311X225,null_count,TOOL
0,48,891,2.0,79,45.0,10.0,25.0,8,20,25137,2932,0,125,66,119,119,119,0.25,119,119.0,119,1e-10,1e-10,108.5,113.3,99.3,50.9,469,512,0,E0
1,44,2,892.0,45,79.0,12.0,27.0,8,20,66714,3477,255,2,54,120,120,119,0.17,120,120.0,120,3.9e-06,7.1e-07,102.8,107.6,95.4,51.0,498,535,0,E0
2,43,892,2.0,79,45.0,10.0,26.0,8,20,25138,2932,0,125,66,119,119,119,0.28,119,119.0,119,6.4e-07,1e-10,108.8,113.5,101.8,50.9,467,499,0,E0
3,46,2,568.0,45,77.0,12.0,27.0,8,20,66465,3368,225,2,54,119,120,119,0.28,120,120.0,120,3.7e-07,1e-10,103.8,109.4,96.3,51.0,493,531,0,E0
4,39,569,2.0,77,45.0,10.0,28.0,8,20,66467,3369,225,2,54,119,120,119,0.29,120,120.0,120,2.3e-07,7.3e-07,103.9,109.3,96.8,51.0,492,528,0,E0
5,44,2,578.0,45,77.0,12.0,28.0,8,20,66473,3372,226,2,54,119,120,119,0.3,120,120.0,120,3.9e-07,1e-07,103.7,108.7,95.4,51.0,493,535,0,E0
6,54,582,2.0,78,45.0,10.0,26.0,8,20,24899,2829,0,98,64,119,119,119,0.26,119,119.0,119,1e-10,1e-10,108.6,113.2,101.6,50.9,468,500,0,E0
7,42,271,0.0,75,45.0,10.0,25.0,8,20,24658,2720,0,69,32,119,119,119,0.25,119,119.0,119,1e-10,1e-10,107.5,111.7,100.8,50.9,473,505,0,E0
8,44,0,272.0,45,75.0,12.0,27.0,8,20,66236,3263,197,2,40,120,120,119,0.28,120,120.0,119,2.4e-06,7.9e-07,103.0,108.2,94.5,51.0,497,541,0,E0
9,40,274,0.0,75,45.0,10.0,27.0,8,20,66238,3264,197,2,41,120,120,119,0.29,120,120.0,119,2.8e-06,1e-10,103.3,108.2,96.4,51.0,495,530,0,E0
10,44,0,277.0,45,75.0,12.0,27.0,8,20,66240,3265,198,2,41,120,120,119,0.31,120,120.0,120,7.4e-07,5.4e-07,102.7,108.0,95.7,51.0,498,534,0,E0
11,45,0,334.0,45,77.0,12.0,25.0,8,20,24708,2742,0,75,55,119,119,119,0.28,119,119.0,119,8.1e-07,1e-10,107.9,112.6,100.7,50.9,471,504,0,E0
12,42,333,,77,,,,8,20,66285,3286,203,2,49,119,120,119,0.31,120,120.0,120,2.4e-06,1.4e-07,103.2,108.7,96.2,51.0,496,531,4,E0
