,312X51,312X52,312X53,312X54,312X55,312X57,312X59,312X60,312X61,312X64,312X65,312X66,312X67,312X69,312X70,312X75,312X81,312X91,312X95,312X96,312X111,312X115,312X130,312X131,312X132,312X133,312X141,312X217,312X246,312X253,312X254,312X255,312X256,312X260,312X261,312X263,312X266,312X267,312X277,312X279,312X280,312X281,312X283,312X284,312X285,312X286,312X287,312X289,312X290,312X291,312X292,312X293,312X303,312X310,312X311,312X315,312X332,312X333,312X337,312X338,312X340,312X349,312X351,312X352,312X355,312X356,312X357,312X358,312X359,312X361,312X362,312X363,312X373,312X379,312X380,312X381,312X382,312X383,312X385,312X386,312X387,312X388,312X389,312X421,312X423,312X424,312X425,312X426,312X429,312X438,312X439,312X441,312X456,312X462,312X465,312X468,312X471,312X475,312X476,312X477,312X480,312X482,312X483,312X489,312X516,312X517,312X519,312X524,312X525,312X528,312X529,312X530,312X531,312X552,312X553,312X555,312X566,312X570,312X574,312X576,312X580,312X582,312X586,312X588,312X589,312X591,312X594,312X597,312X630,312X631,312X633,312X639,312X640,312X645,312X670,312X672,312X690,312X691,312X692,312X693,312X694,312X695,312X696,312X697,312X698,312X699,312X700,312X711,312X712,312X713,312X714,312X717,312X728,312X729,312X730,312X732,312X752,312X754,312X762,312X776,312X778,TOOL
44,334,255,172,218,,394,180,287,,231,150,203,,2.17,1.58,8.7,1.65,,4010,4010,24.9,,32.9,34.5,35.1,,31.8,,,0,716,-1,0,722,0,,0,-2,1122,139,999,,1127,483,143,1001,,1120,476,136,997,,449,0,,448,0,411,0,0,0,375,0,0,378,2,0,0,,374,-2,-2,0,0,2,2,0,,-2,-2,-2,-2,,1,518,4766,5192,5,7,11.1,10.6,10.8,2999,3005,5002,2994,4997,25,26,25,27,32,31,22,89,68,54,57,58,77,48,48,43,837,1043,392,725,5000,,5004,,4997,,50,63,57,57,62,22,77,71,72,,61,,2609,3008.8,3010.2,3010.2,3009.9,,3035,3035,3032,3032,,2882,110.1,110.1,110.2,,110.2,105,105.3,105.6,,92,66,,102.1,101.9,206
50,344,257,173,217,,407,180,258,,233,151,196,,2.15,1.59,8.48,0.05,,4010,4010,21.8,,33.4,33.6,33.5,,33,,,0,718,0,0,722,0,,0,-2,1123,139,1000,,1127,483,140,1001,,1120,476,136,997,,449,0,,448,0,411,0,0,0,375,0,0,378,0,0,0,,374,-2,-2,0,0,2,0,0,,-2,-2,-2,-2,,1,522,4770,5196,5,7,11.3,10.8,10.7,2999,3006,5002,2994,4998,25,26,25,27,32,31,22,89,67,54,57,57,77,49,48,43,826,1032,390,723,5000,,5004,,4997,,50,63,58,56,63,22,77,71,73,,63,,2615,3009.2,3010.2,3010.3,3011.1,,3035,3035,3035,3035,,2912,99.4,99.2,99.5,,100.1,106.8,106.4,106,,91,66,,102,102,206
54,345,257,173,218,,407,181,264,,235,151,197,,2.09,1.54,8.43,1.55,,4010,4010,18,,33.4,33.3,33.3,,33.6,,,0,715,0,0,722,0,,0,-2,1123,139,1000,,1127,483,140,1001,,1120,476,136,997,,448,0,,448.5,0,410,0,0,0,375,0,0,378,2,2,0,,374,-2,-2,0,0,2,2,0,,-2,-2,-2,-2,,1,526,4774,5199,5,7,11.4,10.7,10.7,3000,3007,5003,2994,4998,25,26,25,27,32,31,22,89,67,54,57,57,79,46,48,43,825,1030,389,721,5000,,5004,,4997,,50,63,58,55,62,22,77,71,73,,63,,2615,3008.7,3010,3009.9,3010.5,,3035,3035,3032,3035,,2900,110.9,110.6,110.4,,111.2,105,105.4,105.9,,91,66,,102.2,102.2,206
1,339,257,174,218,,394,184,257,,223,154,189,,1.42,0.81,8.98,0.85,,4010,4010,14.4,,31.1,31.9,32.6,,31.4,,,0,719,0,0,724,2,,716,-2,1126,140,1001,,1127,483,143,1004,,1123,476,140,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,0,,372,-2,-2,0,5,5,5,5,,0,0,0,0,,1,461,2978,3417,5,8,11.1,10.8,11.5,2999,3006,5004,2995,4997,28,29,28,28,34,33,23,85,65,50,54,54,75,41,45,43,823,1047,399,732,5000,,5004,,4997,,51,64,59,56,64,19,73,70,73,,58,,2572,3012.9,3013.9,3013.6,3015.5,,3042,3042,3042,3040,,2890,103.7,100.7,100.2,,105.9,107.1,107.1,106.9,,90,66,,101,101,215
3,348,259,174,217,,426,186,247,,225,155,182,,1.36,0.79,8.55,0.85,,4010,4010,15.2,,33.6,33.2,33,,34.1,,,0,719,0,0,722,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,5,2,2,,0,0,0,0,,1,461,3018,3457,5,7,11.1,10.9,11.3,2999,3005,5001,2995,4998,28,29,28,28,34,32,22,85,65,50,53,53,74,46,44,43,819,1044,398,731,5000,,5003,,4997,,51,64,59,56,64,19,73,70,74,,59,,2572,3013.2,3014.3,3014.2,3015.2,,3042,3042,3045,3042,,2892,103.1,109.2,110.9,,107.1,106.7,106,105.6,,91,67,,101.7,101.8,215
4,349,259,175,218,,426,185,250,,225,154,182,,1.43,0.85,8.58,0.9,,4010,4010,21.9,,34,34.3,34.2,,33.7,,,0,719,0,0,722,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,140,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,1,461,3020,3459,5,8,11.1,10.9,11.3,2999,3005,5002,2995,4997,28,29,28,28,34,32,22,85,65,50,53,53,74,45,45,43,818,1040,397,732,5000,,5004,,4997,,51,64,59,56,64,19,73,70,74,,57,,2571,3012.7,3014.2,3014.4,3013.6,,3040,3042,3040,3045,,2885,101.6,99.7,99.3,,103.2,107.6,107.4,107.1,,90,67,,102,101.9,215
5,349,259,175,218,,425,185,249,,223,154,185,,1.43,0.82,8.98,0.88,,4010,4010,15.5,,31,32.1,33,,31.1,,,0,719,0,0,724,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,2,,372,-2,-2,0,5,2,5,5,,0,0,0,0,,1,461,3026,3465,5,8,11,10.9,11.4,2999,3005,5003,2995,4997,28,29,28,28,34,33,22,85,65,50,53,53,74,42,45,43,823,1039,396,732,5000,,5003,,4997,,51,64,59,56,64,19,73,70,73,,59,,2571,3012.7,3013.2,3014.2,3014.8,,3042,3045,3040,3042,,2885,102.2,108.3,110.4,,105.8,106.8,106.1,105.6,,90,67,,101.8,101.9,215
12,334,255,173,225,,392,186,309,,222,155,217,,1.43,0.82,8.53,0.9,,4010,4010,25,,33.1,34.4,35,,32.2,,,0,719,0,0,724,2,,716,-4,1125,140,1001,,1127,483,143,1004,,1120,476,136,997,,449,0,,448,0,410,0,0,0,375,0,0,378,2,2,2,,372,-2,-2,0,5,5,2,2,,0,-2,0,0,,1,461,2926,3365,5,7,11,10.9,12,2999,3004,5002,2995,4997,28,29,28,28,34,32,23,86,65,52,54,57,75,43,45,44,836,1043,416,730,5000,,5003,,4998,,52,64,57,56,63,19,73,70,71,,55,,2564,3012.4,3013.7,3013.6,3014.4,,3042,3042,3047,3042,,2902,110,110.1,110.2,,110.1,103.7,103.7,103.9,,89,67,,100.1,100.2,215
15,348,259,175,218,,423,186,241,,225,155,182,,1.41,0.8,8.88,0.83,,4010,4010,14.9,,31,31.9,32.7,,31.1,,,0,719,0,0,724,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,2,,372,-2,-2,0,5,5,5,2,,0,0,0,0,,1,461,2860,3299,5,8,11,11,11.4,2999,3005,5001,2995,4998,28,29,28,28,34,32,23,85,65,50,53,52,74,44,44,43,824,1038,396,732,5000,,5003,,4997,,51,64,59,56,64,19,73,70,74,,58,,2570,3013.1,3014.1,3014.3,3015.1,,3042,3042,3040,3040,,2892,110.4,110.2,109.7,,110.7,106.3,106.7,107,,89,67,,101.6,101.6,215
17,350,259,175,219,,428,185,251,,224,154,184,,1.4,0.82,8.58,0.88,,4010,4010,22.4,,33.9,34.3,34.2,,33.5,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,0,,372,-2,-2,0,5,2,2,5,,0,0,0,0,,1,461,2861,3300,5,8,11,10.9,11.4,2999,3007,5002,2995,4997,28,29,28,28,34,32,23,85,65,50,53,53,74,46,45,43,819,1038,396,733,5000,,5003,,4997,,51,64,59,56,64,19,73,70,74,,58,,2570,3012.9,3013.9,3014.4,3015.2,,3042,3042,3040,3042,,2915,101.2,99.6,99.3,,102.7,107.6,107.4,107,,90,67,,101.7,101.7,215
19,349,259,175,218,,426,184,239,,225,154,184,,1.43,0.82,8.83,0.88,,4010,4010,13.5,,31.5,31.8,32.4,,31.9,,,0,719,0,0,724,4,,714,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,5,5,2,,0,0,0,0,,1,461,2862,3301,5,8,11.1,10.9,11.4,2999,3005,5003,2995,4997,28,29,28,28,34,32,22,85,65,50,53,53,74,44,45,43,824,1039,397,732,5000,,5003,,4997,,52,64,59,56,64,19,73,70,73,,58,,2570,3013.1,3014,3014.4,3014.8,,3042,3042,3045,3042,,2897,110,111.4,111.3,,111.2,106,105.6,105.8,,89,66,,101.8,101.9,215
21,349,260,175,219,,422,187,249,,225,155,182,,1.4,0.81,8.65,0.88,,4010,4010,25,,33.9,34.7,34.9,,32.9,,,0,719,0,0,724,0,,714,-2,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,2,0,,372,-2,-2,0,5,2,5,2,,0,0,0,0,,1,461,2863,3302,5,8,11,10.9,11.4,2999,3005,5002,2995,4997,28,30,28,28,34,32,23,85,65,50,53,52,75,43,44,43,820,1035,396,732,5000,,5003,,4997,,51,64,59,56,64,19,73,70,74,,57,,2570,3012.2,3013.7,3014,3013.9,,3042,3042,3042,3042,,2892,110.1,107.9,105.7,,110.4,106.7,107,107.3,,89,67,,102,102,215
23,350,260,175,218,,425,186,246,,225,155,183,,1.4,0.82,8.73,0.88,,4010,4010,13.6,,32.1,32.1,32.4,,32.6,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1130,483,143,1004,,1123,476,140,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,2,0,,372,-2,-2,0,5,2,5,2,,0,0,0,0,,1,461,2864,3303,5,7,11,10.9,11.3,2999,3005,5002,2996,4998,28,29,28,28,34,32,22,85,65,50,53,53,75,43,44,43,823,1039,397,732,5000,,5004,,4997,,51,64,59,56,64,19,73,71,74,,59,,2570,3013.3,3014.5,3013.9,3014.1,,3042,3042,3042,3042,,2917,99.5,100.3,102.9,,100.1,107.4,106.9,106.4,,90,67,,101.9,101.6,215
26,350,259,175,219,,428,186,246,,223,154,184,,1.4,0.81,8.73,0.85,,4010,4010,25.3,,33.9,34.9,35,,32.9,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1130,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,1,461,2872,3310,5,8,11,10.8,11.4,2999,3004,5001,2996,4997,28,29,28,28,34,32,22,85,65,50,53,53,75,42,44,43,822,1035,396,732,5000,,5003,,4997,,51,64,59,56,64,19,73,71,74,,59,,2570,3013,3014.1,3014.6,3014.3,,3040,3040,3045,3042,,2885,100.1,99.4,100.1,,101.1,107.6,107.2,106.7,,90,67,,101.8,101.3,215
28,349,259,175,219,,428,186,253,,225,155,187,,1.41,0.81,9.08,0.83,,4010,4010,13.6,,31.3,31.8,32.3,,31.8,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,0,461,2641,3078,5,7,11.1,10.9,11.4,2999,3006,5001,2994,4997,28,29,28,28,34,33,22,85,65,50,53,53,74,41,44,43,824,1041,398,734,5000,,5004,,4997,,52,64,59,56,64,19,73,70,73,,59,,2570,3013.8,3013.7,3013.3,3014.5,,3042,3045,3042,3042,,2892,105.9,110.5,111.3,,109.2,106.5,105.8,105.6,,89,67,,101.3,101.4,215
32,351,260,175,219,,428,185,243,,222,154,183,,1.42,0.83,8.5,0.88,,4010,4010,15.5,,33.7,33.4,33.2,,34.2,,,0,719,0,0,722,2,,716,-2,1126,140,1001,,1127,483,143,1004,,1123,476,140,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,2,0,,372,-2,-2,0,2,5,2,2,,0,-2,0,0,,1,461,3069,3508,5,8,11.1,11,11.4,2999,3005,5001,2995,4998,28,29,28,28,34,32,22,85,65,50,53,52,74,44,45,43,818,1035,396,732,5000,,5003,,4997,,51,64,59,56,64,19,73,71,74,,59,,2571,3013.2,3013.3,3013.6,3013.8,,3042,3042,3042,3045,,2912,106.1,102.4,100.9,,108.4,107.1,107.4,107.5,,89,67,,101.7,101.8,215
43,343,258,175,218,,397,184,256,,225,153,184,,1.42,0.81,8.85,0.88,,4010,4010,25.8,,32.9,34.5,35.2,,31.4,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1130,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,5,5,2,,0,0,0,0,,0,461,2757,3196,5,8,11.1,10.9,11.4,2999,3006,5003,2994,4997,28,29,28,28,34,33,22,85,65,50,54,54,74,43,45,43,823,1047,398,735,5000,,5004,,4997,,51,64,59,56,64,19,73,70,73,,57,,2571,3012.9,3014.2,3013.4,3014.3,,3040,3040,3042,3042,,2907,110.4,110.1,110.1,,110.7,106.1,106.5,106.9,,89,67,,101.9,102,215
49,350,259,175,218,,430,186,250,,225,155,184,,1.44,0.86,8.73,0.93,,4010,4010,17.6,,34,33.8,33.7,,34.3,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,2,,372,-2,-2,0,5,5,5,2,,0,0,0,0,,0,461,2731,3170,5,7,11.1,10.9,11.4,2999,3005,5001,2995,4997,28,29,28,28,34,32,22,85,65,50,53,53,75,43,44,43,820,1040,397,735,5000,,5003,,4997,,51,64,59,56,64,19,73,71,73,,60,,2570,3013.3,3013.8,3014.3,3014.4,,3040,3042,3042,3037,,2882,111,110.5,110.4,,111.4,105.8,106.2,106.6,,89,67,,101.2,101.2,215
52,349,259,175,218,,419,186,247,,225,154,183,,1.4,0.83,8.58,0.88,,4010,4010,21,,34,34.1,34.1,,33.8,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1120,476,140,997,,449,0,,449,0,410,0,0,0,375,0,0,378,2,2,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,1,461,2885,3324,5,8,11.1,10.9,11.4,2999,3005,5002,2995,4998,28,29,28,28,34,32,22,85,65,50,53,53,75,44,44,43,819,1038,396,734,5000,,5004,,4997,,51,64,59,56,63,19,73,70,74,,57,,2571,3012.7,3014,3013.2,3017.7,,3042,3042,3042,3045,,2890,102.6,100.2,99.5,,104.6,107.5,107.4,107.2,,90,67,,101.9,102,215
63,326,254,173,223,,373,184,302,,220,154,216,,1.36,0.8,8.55,0.85,,4010,4010,25,,33,34.4,35,,32.2,,,0,719,0,0,720,2,,716,-4,1125,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,0,,372,-2,-2,0,5,5,5,5,,0,0,0,0,,0,484,3334,3769,5,8,10.9,10.9,11.9,2999,3006,5002,2995,4998,28,29,28,28,34,31,23,86,65,52,54,57,75,45,45,44,839,1052,416,726,5000,,5003,,4997,,51,64,57,55,63,19,72,70,71,,56,,2577,3012.2,3013.6,3014.2,3014.4,,3040,3042,3040,3045,,2880,110,110.1,110.1,,110.1,103.5,103.6,103.8,,93,66,,100,100.1,215
