,330X2,330X21,330X25,330X31,330X41,330X42,330X48,330X49,330X51,330X52,330X81,330X94,330X100,330X101,330X102,330X104,330X106,330X107,330X108,330X119,330X120,330X121,330X135,330X140,330X141,330X142,330X167,330X179,330X185,330X188,330X190,330X191,330X195,330X197,330X207,330X208,330X214,330X218,330X224,330X236,330X244,330X248,330X258,330X266,330X267,330X274,330X277,330X288,330X296,330X297,330X298,330X302,330X303,330X315,330X321,330X364,330X384,330X385,330X393,330X394,330X395,330X421,330X422,330X441,330X452,330X458,330X460,330X461,330X462,330X468,330X471,330X472,330X481,330X482,330X488,330X498,330X511,330X512,330X516,330X527,330X538,330X539,330X547,330X548,330X552,330X553,330X554,330X555,330X559,330X561,330X562,330X566,330X568,330X569,330X573,330X574,330X575,330X576,330X580,330X582,330X595,330X603,330X604,330X608,330X610,330X611,330X615,330X643,330X670,330X673,330X689,330X690,330X700,330X713,330X798,330X878,330X899,330X909,330X912,330X932,330X952,330X972,330X1053,330X1077,330X1129,330X1174,330X1202,330X1207,330X1214,330X1226,TOOL
0,123.5,5.29,197.6,101.547,42.4,0.39,39.9,0.39,41.967,1.11,102.166,125.5,4.76,0.0,91.22,90.42,102.13,101.46,100.08,4.69,101.68,100.847,100.15,87.23,100.09,99.353,4.66,97.793,96.56,90.877,100.16,99.86,99.3,98.04,96.37,95.683,94.38,97.353,96.08,5.04,98.71,101.013,101.87,84.11,103.17,101.06,103.72,104.617,86.37,98.43,97.813,97.03,4.85,105.717,104.36,107.16,105.65,104.873,53.2,103.87,103.113,101.37,100.677,100.86,99.387,98.16,12.2,99.52,98.85,97.75,98.1,97.457,98.72,98.107,97.05,96.55,103.22,102.393,101.34,3.093,97.9,97.393,99.48,98.853,98.1,5.62,100.32,99.673,99.05,101.13,100.397,99.61,101.46,100.593,99.85,87.28,100.53,99.713,99.0,98.31,4.65,103.37,102.803,101.92,103.13,102.51,101.59,125,88.3,4.96,5.7e-05,85.17,83.98,4.19,4.8e-05,220335,1.62,162.4,18.5,19.54,48.41,46.66,1,8.0,5.34,12.81,21.82,22.2,127.5,0.14,C
1,123.5,5.29,197.6,101.445,42.5,0.39,39.9,0.39,41.967,1.11,102.296,125.1,4.76,0.0,90.91,89.73,102.18,101.253,100.49,4.69,101.77,100.623,99.99,87.24,100.3,99.19,4.66,97.657,97.0,90.3,100.09,99.323,98.63,98.11,96.44,95.523,94.89,97.177,96.55,5.04,99.16,100.807,101.713,84.12,103.07,101.6,103.61,104.47,86.35,98.3,97.287,96.51,4.85,105.617,104.97,107.13,105.57,104.793,53.2,103.84,103.053,101.55,100.767,100.98,99.36,98.6,12.1,99.53,98.753,97.96,98.1,97.36,98.7,97.977,97.23,96.65,103.02,102.01,101.2,3.096,97.76,97.283,99.29,98.86,98.35,5.62,100.01,99.587,99.09,100.59,100.313,100.1,100.74,100.533,100.31,87.29,99.67,99.5,99.37,97.14,4.65,103.3,102.433,101.91,103.15,102.187,101.61,125,88.3,4.96,5.5e-05,85.17,83.98,4.18,4.6e-05,220335,1.62,162.4,18.53,19.57,48.47,46.73,2,8.0,5.34,12.81,21.94,22.26,127.7,0.15,C
2,123.6,5.28,197.6,99.985,42.7,0.39,39.9,0.39,42.6,1.11,100.312,124.6,4.76,0.0,90.25,89.29,101.14,100.71,100.13,4.69,100.68,100.253,99.483,87.21,99.2,98.68,4.64,97.127,96.48,89.677,98.98,98.53,98.1,97.22,95.66,95.06,94.43,96.69,96.05,5.04,98.67,100.333,101.17,84.13,102.3,100.97,102.76,103.893,86.38,97.22,96.79,96.41,4.84,104.893,104.07,106.42,104.85,103.963,53.1,103.24,102.287,100.89,99.893,100.28,98.567,97.6,12.1,99.11,98.053,97.12,97.66,96.63,98.19,97.233,96.38,95.89,101.86,101.46,101.18,3.132,97.32,96.36,99.07,97.95,97.11,5.63,99.8,98.67,97.78,100.54,99.217,98.26,100.78,99.43,98.45,87.36,99.72,98.38,97.25,97.45,4.63,102.2,101.767,101.53,101.9,101.543,101.28,127,88.29,4.96,0.00014,85.16,83.87,4.17,5.8e-05,220908,1.63,162.4,18.64,19.69,48.87,47.13,1,8.0,5.35,12.82,22.36,22.46,125.2,0.15,C
3,89.1,4.57,197.9,97.968,43.7,0.39,39.9,0.39,43.433,0.66,98.64,121.5,4.12,0.33,89.28,87.94,97.62,96.55,95.56,4.17,98.32,97.217,97.22,88.19,98.04,96.893,4.45,96.513,95.5,88.573,91.63,90.903,90.22,97.52,97.5,96.457,95.45,95.793,94.82,4.23,96.71,98.547,99.183,84.28,100.49,98.63,100.81,100.2,85.74,91.72,90.93,90.2,4.61,100.817,99.94,100.54,99.77,98.837,40.0,99.29,98.35,98.74,97.767,98.98,98.613,97.59,8.0,101.01,100.013,99.01,100.37,99.373,100.98,100.023,99.03,98.92,95.41,94.537,93.66,3.292,99.05,98.16,98.52,97.673,96.87,5.76,97.5,96.693,95.96,95.99,95.233,94.52,93.78,93.06,92.43,80.83,91.3,90.697,90.21,89.15,4.09,97.26,96.263,95.21,97.63,96.613,95.53,130,89.89,4.55,0.00014,85.15,87.43,4.29,7.7e-05,154935,1.61,162.2,18.58,19.88,49.45,47.46,2,7.963,5.77,12.68,21.91,21.99,123.1,12.54,B
4,87.5,4.55,197.9,97.619,43.9,0.38,39.9,0.38,43.633,0.64,98.22,121.0,4.11,0.33,88.37,87.48,97.02,96.337,95.54,4.16,97.79,97.087,97.117,88.06,97.65,96.897,4.43,96.603,95.62,87.93,90.68,90.193,89.67,97.34,97.3,96.503,95.64,95.81,94.94,4.22,96.92,98.563,99.23,84.17,100.41,98.77,100.65,100.217,85.61,90.74,90.337,89.85,4.59,100.887,100.1,100.17,99.34,98.467,40.0,98.76,97.94,98.16,97.313,98.43,98.087,97.0,8.0,100.31,99.463,98.41,99.66,98.793,100.34,99.427,98.35,98.27,94.54,94.007,93.39,3.344,98.05,97.263,97.38,96.657,95.78,5.81,96.28,95.573,94.72,94.66,93.99,93.24,92.36,91.73,91.04,80.95,89.83,89.263,88.63,87.6,4.08,96.53,95.883,95.09,96.95,96.28,95.47,130,89.77,4.54,0.00015,85.02,87.31,4.28,8.3e-05,160046,1.63,162.2,18.75,20.06,50.08,48.01,2,7.96,5.79,12.69,22.08,22.1,122.6,12.58,B
5,86.6,4.54,198.0,97.479,43.9,0.37,39.9,0.37,43.7,0.63,98.046,120.9,4.1,0.33,88.26,87.33,97.0,96.187,95.51,4.14,97.64,96.907,96.997,87.94,97.52,96.777,4.42,96.557,95.77,87.81,90.5,90.02,89.56,97.29,97.23,96.547,95.85,95.883,95.2,4.21,97.18,98.727,99.39,84.05,100.47,99.11,100.77,100.41,85.5,90.56,90.113,89.61,4.58,101.05,100.36,100.0,99.04,98.297,40.1,98.47,97.723,97.74,96.993,97.82,97.577,96.73,8.0,99.76,98.96,98.12,99.08,98.28,99.72,98.897,98.02,97.89,94.46,93.86,93.24,3.295,97.03,96.353,96.3,95.66,94.97,5.82,95.13,94.53,93.9,93.44,92.897,92.31,91.08,90.613,90.12,80.79,88.63,88.167,87.71,86.37,4.06,96.43,95.77,95.09,96.94,96.24,95.5,131,89.67,4.53,0.00015,84.91,87.21,4.26,8.4e-05,163422,1.65,162.2,18.83,20.14,50.41,48.26,2,7.96,5.81,12.7,22.13,22.14,122.4,12.58,B
6,86.4,4.54,198.0,98.137,44.1,0.37,39.9,0.37,43.433,0.62,100.372,120.7,4.1,0.33,87.97,87.03,96.59,96.057,95.24,4.14,97.49,96.78,96.853,87.93,97.36,96.727,4.42,96.543,95.87,87.5,90.07,89.703,89.43,97.19,97.16,96.547,95.94,95.81,95.05,4.2,97.02,98.64,99.393,84.01,100.43,98.87,100.72,100.237,85.48,90.23,89.807,89.39,4.58,100.853,100.14,99.88,98.91,98.017,40.1,98.34,97.44,97.58,96.673,97.56,97.19,96.37,8.0,99.54,98.657,97.72,98.84,97.89,99.42,98.483,97.58,97.48,94.01,93.517,92.96,3.285,96.7,95.897,95.97,95.233,94.51,5.83,94.77,94.13,93.44,93.11,92.44,91.83,90.79,90.27,89.63,80.76,88.25,87.73,87.31,85.98,4.06,95.98,95.383,94.72,96.49,95.98,95.47,130,89.63,4.52,0.00024,84.89,87.18,4.26,9e-05,165111,1.66,162.2,18.84,20.14,50.42,48.28,1,7.963,5.85,12.7,22.14,22.14,125.3,12.58,B
7,125.9,5.32,198.6,100.174,42.9,0.4,39.9,0.39,42.5,1.16,102.084,123.8,4.79,0.0,91.99,85.73,101.36,98.85,95.59,4.7,100.69,98.253,97.827,88.9,99.72,97.247,4.71,96.33,93.15,89.157,100.68,97.647,93.87,97.81,96.19,93.973,90.77,95.48,92.24,5.11,94.69,99.033,99.687,87.59,102.15,96.47,102.24,101.88,89.01,98.9,95.907,92.32,4.93,103.477,99.91,106.66,105.1,102.653,53.3,103.45,100.887,101.28,98.793,101.01,98.103,95.06,12.4,99.8,97.547,94.62,98.21,96.033,98.92,96.687,93.87,93.24,103.1,100.157,96.58,3.287,97.35,95.043,98.95,96.423,93.37,5.62,99.64,96.887,93.66,100.05,97.39,93.89,100.36,97.383,93.69,88.43,99.65,96.483,92.53,97.85,4.78,103.1,100.307,96.88,102.58,99.917,96.64,127,90.89,5.02,0.00017,87.99,86.26,4.25,6.4e-05,201643,1.66,163.4,19.0,20.01,49.92,48.11,1,8.0,5.24,12.89,22.7,22.7,127.4,0.16,C
8,130.1,5.33,198.6,101.388,42.6,0.41,39.9,0.4,42.067,1.2,102.412,124.9,4.8,0.0,97.03,91.29,103.76,101.76,100.56,4.71,102.86,101.05,100.56,89.06,101.72,100.023,4.72,99.07,97.93,93.35,106.4,102.29,100.05,100.42,98.69,96.7,95.51,98.16,96.95,5.12,99.55,101.743,102.44,87.76,105.02,101.49,105.14,104.743,89.16,104.15,100.213,98.13,4.94,106.47,105.15,110.32,108.89,106.187,52.6,107.27,104.377,105.0,102.35,104.57,101.34,99.85,12.3,102.56,100.57,99.22,100.92,99.04,101.3,99.4,98.16,97.46,107.92,104.313,102.41,3.268,100.22,98.13,102.03,99.753,98.44,5.62,103.19,100.553,99.11,104.61,101.58,99.97,105.31,101.913,100.1,88.38,105.27,101.467,99.56,103.83,4.79,106.98,103.99,102.28,106.12,103.387,101.86,126,91.06,5.04,9.2e-05,88.15,86.37,4.26,5.9e-05,202222,1.67,163.4,19.0,20.02,49.93,48.13,2,8.0,5.24,12.89,22.71,22.71,127.8,0.16,C
9,126.9,5.34,198.6,101.715,42.2,0.4,39.9,0.4,41.9,1.17,102.468,125.9,4.81,0.0,92.88,91.18,102.15,101.14,99.9,4.7,101.55,100.497,100.073,88.93,100.5,99.37,4.71,98.37,96.79,92.023,101.84,100.83,99.86,98.84,97.1,96.013,94.57,97.45,95.96,5.11,98.6,100.953,101.653,87.62,102.95,100.58,103.08,103.993,89.06,99.99,98.933,97.83,4.93,105.773,104.34,107.87,106.36,105.263,52.5,104.71,103.587,102.59,101.493,102.56,100.603,99.37,12.3,101.0,99.963,98.7,99.45,98.453,99.87,98.903,97.77,97.13,104.32,103.187,101.94,3.257,98.52,97.647,100.11,99.197,98.09,5.61,101.01,100.07,98.94,101.74,100.87,99.92,102.02,101.13,100.2,88.36,101.55,100.727,99.82,99.69,4.78,104.11,103.027,101.86,103.51,102.477,101.27,125,90.93,5.04,9.4e-05,88.02,86.24,4.26,6.2e-05,203321,1.67,163.4,19.0,20.02,49.93,48.14,2,8.0,5.23,12.9,22.71,22.72,127.9,0.17,C
