,340X1,340X2,340X4,340X5,340X7,340X8,340X10,340X17,340X18,340X27,340X31,340X49,340X53,340X61,340X73,340X75,340X77,340X97,340X99,340X105,340X107,340X108,340X124,340X125,340X126,340X132,340X133,340X138,340X147,340X151,340X161,340X173,340X181,340X182,340X188,340X196,TOOL
0,98,95.0,105.0,98.0,88.0,100,105,1.27,5.08,108.9,3085,0,0,0,1198,1200,1193,0,3,0,53430,30020,26,27,17,44,45,298,70,65,88,3436,3007.3,3037,105.6,102.4,3009
1,86,98.0,103.0,98.0,95.0,100,106,0.84,3.98,109.0,3086,0,-2,0,1199,1204,1197,0,1,1,53430,30021,24,25,18,46,46,297,75,69,93,3398,3012.9,3045,107.2,104.1,4106
2,98,95.0,105.0,98.0,88.0,100,105,1.26,5.03,108.8,3085,0,0,0,1198,1200,1193,0,3,0,53430,30021,26,27,17,44,45,298,70,65,88,3437,3007.4,3040,106.6,102.5,3009
3,98,95.0,105.0,98.0,88.0,100,105,1.26,5.03,108.5,3085,1,0,0,1198,1204,1193,1,3,0,53333,29733,26,28,17,44,45,303,70,66,88,3428,3008.4,3042,106.7,102.5,3009
4,98,95.0,105.0,98.0,88.0,100,105,1.28,5.1,108.5,3085,1,0,0,1198,1204,1193,1,3,0,53333,29735,26,27,17,44,45,302,70,66,88,3429,3007.8,3042,106.7,102.5,3009
5,98,95.0,105.0,98.0,88.0,100,105,1.22,4.48,108.0,3085,1,0,0,1197,1200,1193,0,3,0,53333,29741,26,27,17,44,45,302,71,66,88,3428,3007.6,3042,104.9,102.6,3009
6,86,98.0,103.0,98.0,95.0,100,106,0.85,4.05,110.2,3086,0,-2,0,1199,1204,1197,0,1,1,53333,29744,24,25,18,46,46,297,75,69,93,3397,3012.5,3040,106.2,104.2,4106
7,86,98.0,103.0,98.0,95.0,100,106,0.82,3.98,110.3,3086,0,-2,0,1199,1204,1197,0,1,1,53337,29781,24,25,17,46,46,296,76,69,93,3397,3012.8,3040,106.0,104.4,4106
8,98,95.0,105.0,98.0,88.0,100,105,1.16,4.4,108.4,3085,1,0,0,1198,1204,1193,0,3,0,53337,29782,25,26,17,45,45,296,70,65,87,3441,3007.3,3037,105.2,102.8,3009
9,98,95.0,105.0,98.0,88.0,100,105,1.24,5.1,108.7,3085,1,0,0,1198,1204,1193,0,3,0,53337,29784,26,27,17,44,45,299,70,65,86,3438,3007.4,3037,105.3,102.7,3009
10,98,95.0,105.0,98.0,88.0,100,105,1.2,4.33,108.8,3085,1,0,0,1198,1204,1193,0,3,0,53338,29786,26,27,17,44,45,299,70,65,87,3438,3007.6,3040,107.1,102.8,3009
11,86,98.0,103.0,98.0,95.0,100,106,0.85,4.1,109.0,3086,0,-2,0,1199,1204,1197,0,1,0,53348,29800,25,26,17,46,46,300,76,70,94,3391,3013.8,3042,105.9,104.2,4106
12,98,95.0,105.0,98.0,88.0,100,105,1.23,4.4,108.8,3085,1,0,0,1198,1204,1193,0,3,1,53348,29800,26,28,17,44,45,302,70,66,88,3428,3007.8,3040,107.2,102.8,3009
13,86,98.0,103.0,98.0,95.0,100,106,0.82,3.95,109.1,3086,0,-2,0,1199,1204,1197,0,1,0,53348,29801,24,25,18,46,46,298,76,69,91,3402,3012.8,3042,106.8,104.3,4106
14,86,98.0,103.0,98.0,95.0,100,106,0.83,3.95,110.0,3086,0,-2,0,1199,1204,1197,0,1,1,53348,29826,24,25,18,46,46,298,76,70,94,3394,3013.3,3042,107.3,104.4,4106
15,98,95.0,105.0,98.0,88.0,100,105,1.25,5.08,108.8,3085,0,0,0,1198,1200,1193,0,3,0,53348,29826,26,27,17,44,45,299,70,65,87,3436,3007.9,3040,105.3,102.9,3009
16,86,98.0,103.0,98.0,95.0,100,106,0.85,4.0,110.2,3086,0,-2,0,1199,1200,1197,0,1,1,53348,29827,24,25,18,46,46,298,76,70,94,3394,3013.2,3045,106.4,104.4,4106
17,98,95.0,105.0,98.0,88.0,100,105,1.24,5.08,108.8,3085,0,0,0,1198,1200,1193,0,3,0,53348,29827,26,27,17,44,45,299,70,65,87,3437,3006.5,3040,105.5,102.9,3009
18,86,98.0,103.0,98.0,95.0,100,106,0.85,4.08,109.7,3086,0,-2,0,1199,1204,1197,0,1,1,53348,29828,24,26,18,46,46,298,76,70,94,3394,3013.4,3042,105.7,104.4,4106
19,98,95.0,105.0,98.0,88.0,100,105,1.28,5.15,108.8,3085,0,0,0,1198,1204,1193,0,3,0,53348,29828,26,27,17,44,45,299,70,65,87,3436,3007.7,3040,106.4,102.9,3009
20,86,98.0,103.0,98.0,95.0,100,106,0.84,4.05,109.2,3086,0,-2,0,1199,1204,1197,0,1,1,53348,29829,24,26,18,46,46,298,76,70,94,3394,3014.5,3040,105.2,104.5,4106
21,98,95.0,105.0,98.0,88.0,100,105,1.26,5.05,108.8,3085,0,0,0,1198,1200,1193,0,3,0,53348,29829,26,27,17,44,45,299,70,65,87,3437,3007.8,3040,107.2,102.9,3009
22,86,98.0,103.0,98.0,95.0,100,106,0.84,4.05,108.8,3086,0,-2,0,1199,1204,1197,0,1,1,53348,29830,24,26,18,46,46,298,76,70,94,3394,3013.3,3042,105.6,104.5,4106
23,98,95.0,105.0,98.0,88.0,100,105,1.26,5.0,108.9,3085,0,0,0,1198,1204,1193,0,3,0,53348,29830,26,27,17,44,45,298,70,65,87,3437,3007.3,3037,106.9,102.8,3009
24,86,92.9,106.0,96.1,92.9,106,106,0.56,4.2,108.7,3085,0,-2,0,1199,1204,1197,0,0,0,53117,29121,27,28,20,42,42,307,74,68,76,3500,3011.0,3045,108.0,102.6,4147
25,98,95.0,105.0,98.0,88.0,100,105,1.27,5.05,108.2,3085,0,0,0,1198,1200,1193,0,3,1,53126,29130,26,27,17,44,45,304,71,65,89,3425,3007.7,3040,107.0,101.9,3009
26,98,95.0,105.0,98.0,88.0,100,105,1.27,5.05,108.6,3085,0,0,0,1198,1204,1193,0,3,0,53348,29838,26,27,16,44,45,298,70,65,87,3437,3007.1,3040,105.2,102.7,3009
27,86,98.0,103.0,98.0,95.0,100,106,0.88,4.15,108.7,3086,0,-2,0,1199,1204,1197,0,1,0,53263,29469,25,26,17,46,46,301,76,70,94,3392,3012.7,3042,106.5,104.1,4106
28,98,95.0,105.0,98.0,88.0,100,105,1.29,5.05,108.4,3085,1,0,0,1198,1204,1193,0,3,1,53263,29481,26,27,17,44,45,303,71,65,88,3427,3007.7,3040,106.7,102.8,3009
29,86,95.0,106.0,97.05,95.0,106,106,0.61,3.35,108.6,3085,0,-2,-1,1198,1204,1197,0,1,1,7145,8317,28,30,19,44,44,308,83,74,91,3429,3014.7,3050,106.2,99.3,2409
30,86,95.0,106.0,97.05,95.0,106,106,0.66,3.8,109.6,3085,0,-2,-1,1198,1204,1197,0,1,0,7153,8325,27,30,19,43,44,298,83,73,93,3419,3014.6,3052,106.5,99.8,2409
