,344X1,344X2,344X5,344X7,344X10,344X13,344X14,344X15,344X23,344X25,344X31,344X33,344X34,344X36,344X42,344X46,344X48,344X49,344X54,344X55,344X75,344X78,344X90,344X102,344X114,344X118,344X121,344X126,344X127,344X130,344X132,344X133,344X138,344X150,344X153,344X154,344X156,344X163,344X166,344X168,344X169,344X174,344X177,344X178,344X180,344X181,344X210,344X212,344X216,344X222,344X224,344X231,344X237,344X239,344X240,344X243,344X245,344X246,344X266,344X270,344X278,344X279,344X281,344X297,344X299,344X317,344X318,344X321,344X324,344X335,344X336,344X338,344X341,344X347,344X348,344X355,344X364,344X365,344X377,TOOL
0,159.0,156,101,118,81,100,117.0,81,81,208,175,0.7,0.33,4.2,3005,3020,3000,3000,110.0,109.9,3085,17.9,5.8,46.0,30.2,19.8,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1204,595,1197,2,5,5,0,0,0,52628,6,10.7,14.2,3999,3956,32,29,34,28,27,52,0.0,328,556,385,34,29,13,39,52,27,4417,3382,4465,4393,3006.1,3008.5,109.9,105.3,105.5,95,W
1,150.0,156,101,118,81,100,120.0,81,81,205,171,0.73,0.44,3.98,3000,3010,2990,2990,110.0,110.0,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1196,0,-2,397,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,1,52628,5,10.2,14.3,4000,3933,29,27,34,29,23,52,0.0,341,586,392,43,38,12,36,48,25,4392,3393,4441,4357,3012.9,3015.0,109.9,106.7,106.8,95,X
2,159.0,156,101,118,81,100,117.0,81,81,210,176,0.67,0.32,4.05,3005,3020,3000,3000,103.0,97.1,3085,17.9,5.8,46.0,30.2,19.8,19.3,1201,0,2,1198,0,0,399,402,805,395,1199,1204,595,1197,2,7,5,0,0,0,52628,6,10.5,14.3,4000,3931,32,29,34,28,27,50,0.0,326,553,393,34,29,13,39,52,28,4419,3385,4474,4395,3007.6,3008.6,110.1,105.8,106.2,94,W
3,150.0,156,101,118,81,100,120.0,81,81,211,172,0.68,0.41,3.93,3000,3010,2990,2990,103.5,99.8,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1204,595,1197,0,2,2,-2,-2,1,52479,5,10.2,14.2,4000,3962,29,27,34,29,23,52,0.0,335,560,398,44,37,12,37,48,26,4396,3388,4453,4373,3013.8,3015.3,110.6,108.0,108.6,100,X
4,159.0,156,101,118,81,100,117.0,81,81,212,177,0.64,0.3,3.98,3006,3010,3000,3000,109.0,101.8,3085,17.9,5.8,46.0,30.2,19.7,19.3,1201,0,2,1198,0,0,399,405,802,395,1199,1204,595,1197,2,7,5,0,0,1,52480,5,10.2,14.0,3999,3950,32,29,34,28,27,50,0.0,323,543,387,34,29,13,39,51,28,4419,3387,4463,4400,3008.0,3009.1,99.9,106.6,106.2,93,W
5,159.0,156,101,118,81,100,117.0,81,81,212,177,0.64,0.29,4.08,3006,3010,3000,3000,107.1,110.3,3085,17.9,5.8,46.0,30.2,19.7,19.3,1201,0,2,1198,0,0,399,402,802,395,1199,1200,595,1197,2,5,7,0,0,1,52484,5,10.4,14.1,3999,3947,32,29,34,28,26,50,0.0,323,543,384,34,29,13,40,52,28,4419,3385,4463,4402,3007.4,3009.1,102.5,106.3,106.0,93,W
6,150.0,156,101,118,81,100,120.0,81,81,214,172,0.75,0.43,4.0,3000,3010,2990,2990,100.0,100.0,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,0,52486,5,10.2,14.3,3999,3953,30,27,34,29,23,52,0.0,334,542,392,44,37,12,38,48,26,4394,3372,4454,4374,3013.8,3014.8,111.3,107.1,107.7,109,X
7,159.0,156,101,118,81,100,117.0,81,81,210,176,0.7,0.3,4.23,3005,3010,3000,3000,95.4,98.6,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,395,1199,1204,595,1197,2,5,7,0,0,1,52346,6,10.7,14.0,4000,3946,32,29,34,28,27,52,0.0,324,547,384,34,29,13,40,52,28,4417,3386,4465,4398,3007.9,3008.4,102.0,107.4,107.1,93,W
8,150.0,156,101,118,81,100,120.0,81,81,208,172,0.73,0.42,4.05,3000,3010,2990,2990,109.4,108.0,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,397,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,1,52347,5,10.3,14.3,3999,3956,30,27,33,29,23,52,0.0,339,578,394,44,38,12,37,49,25,4391,3393,4446,4356,3013.3,3014.2,109.9,107.8,107.9,98,X
9,159.6,156,101,118,81,100,118.1,81,81,212,178,0.79,0.39,4.93,3001,3010,2990,2990,107.6,110.6,3085,17.9,5.8,46.0,30.2,19.8,19.2,1199,3,6,1198,2,-1,398,400,800,395,1197,1200,591,1193,-5,-5,-5,-7,-7,1,52348,5,10.2,14.3,4000,3936,29,26,32,29,23,52,0.0,327,561,394,40,34,11,40,53,29,4482,3423,4536,4441,3010.2,3013.3,110.1,106.9,107.1,95,V
10,159.0,156,101,118,81,100,117.0,81,81,211,176,0.69,0.32,4.05,3005,3010,3000,3000,94.9,95.1,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1200,595,1197,2,5,5,0,2,1,52349,5,10.6,14.0,4000,3991,32,29,34,28,27,50,0.0,323,543,385,34,29,13,40,52,28,4418,3387,4464,4398,3007.3,3008.5,103.0,107.5,107.4,91,W
11,159.6,156,101,118,81,100,118.1,81,81,214,178,0.82,0.39,5.03,3001,3010,2990,2990,96.9,99.7,3085,17.9,5.8,46.0,30.2,19.9,19.2,1199,3,6,1198,2,-1,398,400,802,395,1197,1200,591,1193,-5,-5,-5,-7,-7,0,52460,5,10.2,14.2,3999,3950,29,26,32,29,23,52,0.0,324,553,385,40,34,11,41,52,29,4485,3422,4529,4466,3011.5,3012.0,101.0,108.4,107.9,99,V
12,150.0,156,101,118,81,100,120.0,81,81,212,172,0.74,0.42,4.13,3000,3010,2990,2990,100.0,100.0,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,1,52461,5,10.2,14.2,4000,3963,29,27,34,29,22,52,0.0,334,558,392,44,38,12,37,48,26,4395,3389,4450,4371,3014.1,3015.0,102.3,107.2,106.8,102,X
13,159.0,156,101,118,81,100,117.0,81,81,212,177,0.65,0.3,4.1,3006,3010,3000,3000,95.0,95.0,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,395,1199,1204,595,1197,2,7,5,0,0,0,52461,5,10.3,14.0,3999,3954,32,29,35,28,27,51,0.0,322,544,383,34,29,13,39,52,28,4419,3388,4462,4402,3007.0,3008.8,111.3,106.5,107.1,93,W
14,159.0,156,101,118,81,100,117.0,81,81,213,177,0.65,0.3,3.95,3005,3010,3000,3000,107.6,100.4,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1204,595,1197,2,7,5,0,0,0,52495,5,10.3,14.1,3999,3938,32,29,35,28,26,51,0.0,323,549,388,34,29,13,39,51,28,4418,3387,4465,4403,3007.6,3008.8,101.9,106.4,106.1,95,W
15,159.6,156,101,118,81,100,118.1,81,81,210,178,0.78,0.38,4.93,3001,3010,2990,2990,97.0,96.9,3085,17.9,5.8,46.0,30.2,19.8,19.2,1199,3,6,1198,2,-1,398,400,800,395,1197,1200,595,1197,-5,-5,-2,-7,-7,1,52495,5,10.2,14.2,4000,3958,29,26,32,29,23,52,0.0,323,578,386,39,34,11,39,52,29,4488,3447,4532,4472,3011.3,3013.3,108.2,108.4,108.6,90,V
16,150.0,156,101,118,81,100,120.0,81,81,215,172,0.72,0.41,4.08,3000,3010,2990,2990,108.8,109.1,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,0,52495,5,10.2,14.2,4000,3954,30,27,33,29,23,52,0.0,334,535,393,44,37,12,38,48,26,4395,3368,4454,4375,3014.1,3015.4,99.6,108.0,107.5,112,X
