,400X4,400X14,400X15,400X37,400X97,400X138,400X211,400X213,400X216,null_count,TOOL
0,16421.0,30.8,29.6,111.0,6.8,0.1,39.1,4.19,3.86,0,D
1,11439.0,31.8,29.6,112.0,8.7,-0.1,39.2,4.32,4.02,0,D
2,17052.0,31.2,30.2,110.0,8.1,0.0,39.3,4.25,3.84,0,D
3,16871.0,31.4,30.2,111.0,8.4,-0.1,39.2,4.25,3.82,0,D
4,16232.0,30.7,29.6,111.0,6.6,0.1,39.2,4.19,3.9,0,D
5,16236.0,31.0,29.5,111.0,6.7,0.1,39.1,4.2,3.92,0,D
6,20647.0,31.3,30.3,111.0,8.6,-0.1,40.6,4.25,3.82,0,D
7,16913.0,31.3,30.1,111.0,8.4,0.0,39.2,4.25,3.87,0,D
8,16914.0,31.4,30.0,111.0,8.5,0.0,39.2,4.25,3.87,0,D
9,16277.0,30.8,29.6,111.0,6.7,0.1,39.2,4.19,3.93,0,D
10,11308.0,31.8,29.8,112.0,8.6,-0.1,39.2,4.34,4.01,0,D
11,11255.0,31.9,29.7,112.0,8.7,-0.1,39.2,4.33,4.01,0,D
12,20632.0,31.4,29.8,111.0,8.6,-0.1,40.6,4.23,3.81,0,D
13,16861.0,31.4,30.0,110.0,8.1,0.0,39.2,4.25,3.82,0,D
14,20701.0,31.4,30.1,111.0,7.8,-0.1,40.7,4.26,3.83,0,D
15,16933.0,31.4,30.1,111.0,7.8,0.0,39.4,4.25,3.97,0,D
16,16300.0,30.6,29.7,111.0,5.9,0.1,39.3,4.2,3.9,0,D
17,20702.0,31.3,30.2,111.0,8.1,-0.1,40.6,4.25,3.86,0,D
18,16934.0,31.4,30.1,110.0,8.1,0.0,39.2,4.25,3.82,0,D
19,16301.0,31.0,29.5,111.0,6.3,0.1,39.1,4.2,3.88,0,D
20,20703.0,31.2,30.1,111.0,8.3,-0.1,40.6,4.25,3.82,0,D
21,16935.0,31.5,30.1,111.0,8.1,-0.1,39.2,4.25,3.81,0,D
22,16302.0,31.0,29.5,111.0,6.4,0.1,39.1,4.19,3.92,0,D
23,11327.0,31.7,29.5,112.0,8.2,-0.1,39.3,4.33,4.03,0,D
24,16682.0,31.3,30.0,110.0,7.8,0.0,39.4,4.25,3.89,0,C
25,16005.0,30.8,29.6,111.0,6.4,0.1,39.2,4.21,3.88,0,C
26,20707.0,31.1,30.2,111.0,8.4,-0.1,40.5,4.25,3.88,0,D
27,20434.0,31.3,30.2,111.0,7.6,-0.1,40.5,4.27,3.94,0,D
28,11081.0,31.6,29.7,112.0,8.6,-0.1,39.2,4.33,4.04,0,D
29,10990.0,31.5,29.8,112.0,8.6,-0.1,39.1,4.34,4.03,0,C
30,16681.0,31.3,30.1,110.0,8.5,-0.1,39.2,4.25,3.98,0,C
31,17096.0,31.1,30.2,111.0,7.9,-0.1,39.4,4.25,3.99,0,D
