,420X4,420X12,420X13,420X16,420X19,420X20,420X21,420X23,420X31,420X33,420X35,420X37,420X72,420X73,420X74,420X75,420X76,420X79,420X85,420X92,420X93,420X97,420X98,420X114,420X115,420X116,420X117,420X118,420X138,420X150,420X151,420X152,420X154,420X188,420X192,420X194,420X197,420X199,420X200,420X202,420X205,420X211,420X213,420X215,420X216,null_count,TOOL
0,18893.0,14.4,14.5,14.5,90.0,89.9,90.0,90.0,18893.0,18893.0,227.0,226.0,2.3,3.7,5.1,2.3,2.3,5.3,373.1,9.0,10.7,9.6,11.4,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,108.5,39.9,49.1,14.56,14.61,13.51,14.62,1792.0,37.0,5.71,5.73,5.13,0,D
1,21282.0,14.1,14.1,14.0,90.0,90.0,90.0,90.0,9446.0,21282.0,226.0,226.0,2.5,3.8,5.6,2.5,2.7,5.7,373.1,8.6,10.1,8.9,10.6,-0.1,0.0,0.1,-0.1,0.0,16.1,-0.1,-0.1,-0.1,-0.1,110.2,37.4,44.7,14.77,14.78,13.28,14.79,1280.0,35.9,5.65,5.67,5.12,0,D
2,13272.0,13.9,14.0,14.1,90.0,90.0,90.1,90.0,4646.0,4646.0,226.0,226.0,2.5,4.2,6.8,2.0,2.4,6.3,370.2,8.7,10.1,9.0,10.4,0.2,0.1,0.2,0.0,0.1,15.9,0.1,0.0,0.1,0.1,113.9,40.5,48.8,14.74,14.78,13.84,14.74,1612.0,35.5,5.69,5.71,5.31,0,D
3,13080.0,13.9,14.0,14.1,90.1,90.0,90.1,90.1,4454.0,4454.0,226.0,226.0,2.1,4.0,6.9,1.9,2.1,6.5,370.2,8.5,9.8,8.8,10.3,0.1,0.1,0.2,0.0,0.1,15.9,0.1,0.1,0.1,0.1,114.8,40.6,47.5,14.74,14.74,13.53,14.74,1304.0,37.6,5.69,5.71,5.31,0,D
4,18695.0,14.4,14.5,14.4,90.3,90.1,90.3,90.3,18695.0,18695.0,227.0,226.0,2.3,3.9,5.6,2.2,2.3,5.6,373.1,9.1,10.8,9.6,11.5,-0.1,-0.1,-0.1,-0.1,-0.1,16.0,0.0,0.0,0.0,0.0,108.5,39.9,49.2,14.61,14.61,13.61,14.62,1783.0,37.0,5.71,5.73,5.16,0,D
5,18699.0,14.7,14.6,14.6,90.0,89.8,90.0,90.0,18699.0,18699.0,227.0,226.0,2.3,4.0,5.8,2.1,2.3,5.9,373.1,8.9,10.8,9.3,11.4,-0.1,-0.1,0.0,-0.1,-0.1,16.0,0.0,0.0,0.0,0.0,112.2,40.2,47.0,14.61,14.61,13.7,14.62,1284.0,38.9,5.71,5.72,5.36,0,D
6,13087.0,13.8,14.0,14.0,90.0,90.0,90.1,90.0,4461.0,4461.0,226.0,226.0,1.9,3.9,7.2,1.9,2.1,7.2,370.2,8.5,9.8,8.8,10.1,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.1,0.1,0.1,114.8,40.6,48.6,14.73,14.78,13.74,14.74,1602.0,35.7,5.69,5.71,5.31,0,D
7,13129.0,14.0,14.0,14.0,90.0,90.0,90.2,90.0,4503.0,4503.0,226.0,226.0,2.5,4.1,6.9,2.4,2.5,6.2,370.2,8.7,10.0,9.0,10.4,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.0,0.1,0.1,113.6,40.5,49.2,14.74,14.78,13.64,14.74,1651.0,35.2,5.7,5.71,5.21,0,D
8,13130.0,14.1,14.0,14.1,90.0,89.9,90.1,90.0,4504.0,4504.0,226.0,226.0,2.5,4.2,6.9,2.2,2.7,6.1,370.2,8.7,10.4,9.0,10.5,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.0,0.1,0.1,113.2,40.5,49.1,14.74,14.78,13.68,14.74,1651.0,35.2,5.7,5.71,5.23,0,D
9,18748.0,14.6,14.6,14.6,90.0,89.9,90.0,90.0,18748.0,18748.0,227.0,226.0,1.9,3.9,6.0,1.9,2.0,6.1,373.1,8.9,10.9,9.4,11.3,-0.1,-0.1,0.0,-0.1,-0.1,16.0,0.0,0.0,0.1,0.0,112.2,40.1,47.1,14.61,14.61,13.65,14.62,1284.0,38.9,5.71,5.73,5.36,0,D
10,21139.0,13.9,14.1,14.0,90.0,90.0,90.1,90.0,9303.0,21139.0,226.0,226.0,2.7,3.8,6.0,2.4,2.5,5.9,373.1,8.4,9.9,8.7,10.4,0.0,0.0,0.1,-0.1,0.0,16.1,-0.1,-0.1,-0.1,-0.1,111.1,37.3,43.8,14.78,14.78,13.98,14.79,1177.0,37.7,5.74,5.74,5.41,0,D
11,21093.0,14.1,14.1,14.0,90.0,90.0,90.1,90.0,9257.0,21093.0,226.0,226.0,2.4,3.8,5.5,2.4,2.5,5.5,373.1,8.5,10.1,8.9,10.5,0.0,0.0,0.1,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,110.8,37.3,44.6,14.77,14.79,13.31,14.79,1280.0,36.4,5.73,5.74,5.25,0,D
12,13088.0,14.0,14.0,14.0,90.0,90.0,90.1,90.0,4462.0,4462.0,226.0,226.0,2.2,3.9,6.9,2.1,2.2,5.9,370.2,8.5,9.8,8.8,10.1,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.1,0.1,0.1,114.5,40.6,48.7,14.74,14.78,13.89,14.74,1602.0,35.6,5.69,5.71,5.33,0,D
13,18702.0,14.4,14.5,14.5,90.0,90.0,90.0,90.0,18702.0,18702.0,227.0,226.0,2.1,3.9,5.6,2.1,2.2,5.8,373.1,8.9,10.5,9.5,11.3,-0.1,-0.1,0.0,-0.1,-0.1,16.0,0.0,0.0,0.0,-0.1,108.5,40.0,48.3,14.61,14.61,13.92,14.62,1626.0,37.6,5.71,5.72,5.33,0,D
14,13165.0,14.1,14.1,14.0,90.0,89.9,90.0,90.0,4539.0,4539.0,226.0,226.0,2.3,4.2,7.3,2.1,2.3,7.1,370.2,8.4,10.0,8.8,10.3,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.1,0.1,0.1,117.8,40.6,47.6,14.74,14.74,13.64,14.74,1353.0,37.9,5.71,5.72,5.34,0,D
15,18784.0,14.5,14.5,14.4,90.0,90.0,90.1,90.0,18784.0,18784.0,226.0,226.0,2.3,4.1,5.9,2.3,2.2,6.1,373.1,8.9,10.7,9.4,11.3,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,109.4,40.0,48.3,14.56,14.61,14.06,14.62,1534.0,37.7,5.71,5.73,5.39,0,D
16,21174.0,14.2,14.1,14.0,90.0,90.0,90.0,90.0,9338.0,21174.0,226.0,226.0,2.5,4.0,6.0,2.5,2.5,5.9,373.2,8.4,9.8,8.7,10.4,-0.1,0.0,0.0,-0.1,-0.1,16.0,-0.1,-0.1,-0.1,-0.1,111.1,37.4,44.7,14.77,14.78,13.37,14.79,1338.0,36.7,5.75,5.76,5.28,0,D
17,13166.0,14.0,14.0,14.0,90.0,90.0,90.2,90.0,4540.0,4540.0,226.0,226.0,2.5,4.1,6.7,2.1,2.2,5.5,370.2,8.6,10.1,9.0,10.2,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.1,0.1,0.1,114.8,40.6,48.2,14.74,14.74,13.93,14.74,1553.0,36.4,5.71,5.72,5.36,0,D
18,18785.0,14.4,14.5,14.5,90.0,90.0,90.0,90.0,18785.0,18785.0,226.0,226.0,2.5,4.0,5.8,2.2,2.3,6.1,373.1,9.3,11.3,9.8,11.6,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,109.0,40.0,48.3,14.61,14.61,13.76,14.62,1582.0,36.5,5.71,5.72,5.32,0,D
19,21175.0,14.2,14.1,14.0,90.0,90.0,90.0,90.0,9339.0,21175.0,226.0,226.0,2.7,4.1,6.0,2.5,2.7,5.9,373.1,8.5,9.9,8.8,10.4,0.0,0.0,0.1,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,110.8,37.4,44.6,14.73,14.78,13.37,14.79,1289.0,36.6,5.74,5.75,5.28,0,D
