,520X3,520X7,520X8,520X31,520X32,520X33,520X72,520X76,520X77,520X78,520X83,520X91,520X137,520X177,520X252,520X258,520X259,520X260,520X262,520X263,520X264,520X267,520X287,520X289,520X290,520X293,520X294,520X295,520X296,520X297,520X305,520X306,520X307,520X308,520X309,520X380,520X389,520X392,520X399,520X408,520X411,520X432,null_count,TOOL
0,539.0,144.0,69.0,491.0,493.0,490.0,489.0,496.0,497.0,494.0,486.0,495.0,1.0,9580.0,462.9,15.7,15.5,16.1,16.0,16.2,15.6,15.9,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,46.1,51.9,14.55,5.0,5.7,5.62,19.0,0,11
1,541.0,144.0,69.0,490.0,491.0,488.0,490.0,496.0,497.0,494.0,486.0,495.0,2.0,5770.0,456.6,14.1,13.9,14.4,14.1,14.3,14.0,14.4,40.2,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.0,0.0,0.0,0.0,0.0,45.6,50.8,14.64,10.0,5.72,5.63,9.0,0,11
2,560.0,145.0,70.0,490.0,491.0,488.0,490.0,496.0,497.0,494.0,486.0,495.0,3.0,2061.0,457.6,14.7,14.5,15.1,14.6,14.6,14.6,15.0,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.9,14.46,5.0,5.67,5.58,10.0,0,11
3,563.0,145.0,71.0,490.0,491.0,488.0,490.0,495.0,496.0,494.0,487.0,495.0,4.0,1890.0,457.6,14.2,14.2,14.9,14.6,14.2,14.3,14.6,40.1,40.2,40.1,9.6,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.5,14.46,5.0,5.64,5.56,10.0,0,11
4,537.0,144.0,70.0,491.0,492.0,489.0,490.0,495.0,497.0,493.0,486.0,495.0,4.0,9408.0,462.9,15.8,15.8,16.3,16.0,16.2,16.2,16.3,40.0,40.1,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.0,0.1,0.0,0.1,45.2,51.8,14.55,0.0,5.66,5.57,19.0,0,13
5,553.0,144.0,70.0,491.0,493.0,490.0,490.0,495.0,497.0,494.0,486.0,495.0,4.0,9412.0,462.9,16.0,15.7,16.3,16.0,16.3,16.3,15.8,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,45.4,51.8,14.55,5.0,5.66,5.56,19.0,0,12
6,530.0,145.0,71.0,490.0,492.0,488.0,490.0,496.0,497.0,494.0,487.0,495.0,1.0,1897.0,457.6,14.6,14.6,15.2,14.8,14.9,14.7,14.7,40.1,40.2,40.1,9.6,9.5,9.6,9.5,9.6,0.1,0.1,0.1,0.1,0.1,45.9,52.5,14.46,0.0,5.66,5.55,10.0,0,13
7,530.0,145.0,72.0,491.0,492.0,489.0,490.0,496.0,497.0,494.0,487.0,495.0,1.0,5577.0,456.6,15.3,14.8,15.3,14.8,15.2,14.8,14.6,40.2,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.71,5.59,9.0,0,14
8,531.0,143.0,76.0,491.0,492.0,489.0,490.0,495.0,497.0,494.0,487.0,495.0,4.0,5578.0,456.6,15.2,14.9,15.4,15.4,15.2,15.1,15.3,40.2,40.2,40.1,9.6,9.6,9.7,9.6,9.7,0.0,0.0,0.1,0.0,0.0,45.6,50.9,14.64,10.0,5.7,5.59,9.0,0,15
9,562.0,142.0,71.0,490.0,491.0,488.0,490.0,495.0,496.0,494.0,487.0,495.0,4.0,1870.0,457.6,14.6,14.3,14.9,14.1,14.5,14.4,14.4,40.2,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.3,14.46,5.0,5.66,5.56,10.0,0,11
